You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,-0.026033, Average Y value:,1.118373, Average Z value:,0.320948, Max X values:,0.145456,-0.185985, Max Y values:,2.282183,0.097845, Max Z values:,0.145456,-0.185985,,,1.017707
Average X value:,-0.041995, Average Y value:,1.007965, Average Z value:,0.31385, Max X values:,0.112617,-0.185985, Max Y values:,2.282183,0.058292, Max Z values:,0.112617,-0.185985,,,1.01886
Average X value:,-0.055716, Average Y value:,0.893786, Average Z value:,0.30564, Max X values:,0.080388,-0.185985, Max Y values:,2.22737,-0.001404, Max Z values:,0.080388,-0.185985,,,1.020927
Average X value:,-0.067021, Average Y value:,0.780193, Average Z value:,0.296582, Max X values:,0.066715,-0.185985, Max Y values:,2.082097,-0.044497, Max Z values:,0.066715,-0.185985,,,1.023626
Average X value:,-0.076494, Average Y value:,0.67368, Average Z value:,0.287231, Max X values:,0.066715,-0.185985, Max Y values:,1.887383,-0.04816, Max Z values:,0.066715,-0.185985,,,1.02592
Average X value:,-0.085296, Average Y value:,0.578606, Average Z value:,0.277568, Max X values:,0.066715,-0.185985, Max Y values:,1.75383,-0.04816, Max Z values:,0.066715,-0.185985,,,1.027482
Average X value:,-0.094336, Average Y value:,0.493328, Average Z value:,0.267204, Max X values:,0.066715,-0.185985, Max Y values:,1.571568,-0.04816, Max Z values:,0.066715,-0.185985,,,1.028436
Average X value:,-0.101477, Average Y value:,0.420045, Average Z value:,0.255613, Max X values:,0.066715,-0.185985, Max Y values:,1.38894,-0.04816, Max Z values:,0.066715,-0.185985,,,1.028576
Average X value:,-0.11045, Average Y value:,0.360203, Average Z value:,0.245108, Max X values:,0.046206,-0.185985, Max Y values:,1.223158,-0.04816, Max Z values:,0.046206,-0.185985,,,1.027242
Average X value:,-0.118037, Average Y value:,0.314698, Average Z value:,0.236965, Max X values:,0.042422,-0.185985, Max Y values:,1.083501,-0.04816, Max Z values:,0.042422,-0.185985,,,1.025111
Average X value:,-0.124281, Average Y value:,0.28333, Average Z value:,0.231344, Max X values:,0.010804,-0.185985, Max Y values:,0.959714,-0.04816, Max Z values:,0.010804,-0.185985,,,1.02238
Average X value:,-0.130519, Average Y value:,0.263114, Average Z value:,0.227999, Max X values:,-0.030092,-0.185985, Max Y values:,0.817982,-0.04816, Max Z values:,-0.030092,-0.185985,,,1.018729
Average X value:,-0.137966, Average Y value:,0.253201, Average Z value:,0.225661, Max X values:,-0.070256,-0.185985, Max Y values:,0.687359,-0.04816, Max Z values:,-0.070256,-0.185985,,,1.014079
Average X value:,-0.139181, Average Y value:,0.258536, Average Z value:,0.227516, Max X values:,-0.082464,-0.185985, Max Y values:,0.794055,-0.04816, Max Z values:,-0.082464,-0.185985,,,1.008291
Average X value:,-0.12975, Average Y value:,0.280724, Average Z value:,0.23257, Max X values:,0.054142,-0.185985, Max Y values:,1.010499,-0.04816, Max Z values:,0.054142,-0.185985,,,1.002576
Average X value:,-0.118739, Average Y value:,0.313874, Average Z value:,0.24194, Max X values:,0.054142,-0.185985, Max Y values:,1.137704,-0.04816, Max Z values:,0.054142,-0.185985,,,0.997068
Average X value:,-0.11255, Average Y value:,0.356687, Average Z value:,0.250107, Max X values:,0.054142,-0.185619, Max Y values:,1.2256,-0.04816, Max Z values:,0.054142,-0.185619,,,0.992078
Average X value:,-0.104962, Average Y value:,0.414924, Average Z value:,0.258579, Max X values:,0.054142,-0.185619, Max Y values:,1.467192,-0.04816, Max Z values:,0.054142,-0.185619,,,0.987393
Average X value:,-0.093151, Average Y value:,0.48955, Average Z value:,0.267375, Max X values:,0.099066,-0.185619, Max Y values:,1.687542,-0.04816, Max Z values:,0.099066,-0.185619,,,0.983262
Average X value:,-0.079271, Average Y value:,0.577587, Average Z value:,0.275536, Max X values:,0.10517,-0.185619, Max Y values:,1.890557,-0.04816, Max Z values:,0.10517,-0.185619,,,0.979287
Average X value:,-0.065061, Average Y value:,0.673491, Average Z value:,0.284264, Max X values:,0.10517,-0.179027, Max Y values:,2.015931,-0.04816, Max Z values:,0.10517,-0.179027,,,0.975013
Average X value:,-0.047122, Average Y value:,0.778698, Average Z value:,0.295532, Max X values:,0.185009,-0.179027, Max Y values:,2.162425,-0.04816, Max Z values:,0.185009,-0.179027,,,0.970865
Average X value:,-0.025777, Average Y value:,0.893652, Average Z value:,0.308613, Max X values:,0.265092,-0.179027, Max Y values:,2.297687,-0.04816, Max Z values:,0.265092,-0.179027,,,0.967218
Average X value:,-0.006433, Average Y value:,1.015535, Average Z value:,0.321174, Max X values:,0.265092,-0.179027, Max Y values:,2.393152,-0.04816, Max Z values:,0.265092,-0.179027,,,0.964284
Average X value:,0.01081, Average Y value:,1.138253, Average Z value:,0.330263, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,-0.0141, Max Z values:,0.265092,-0.179027,,,0.962935
Average X value:,0.024831, Average Y value:,1.259238, Average Z value:,0.336208, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.048282, Max Z values:,0.265092,-0.179027,,,0.962335
Average X value:,0.037429, Average Y value:,1.371837, Average Z value:,0.337069, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.105902, Max Z values:,0.265092,-0.179027,,,0.962437
Average X value:,0.04653, Average Y value:,1.471379, Average Z value:,0.337752, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.192089, Max Z values:,0.265092,-0.179027,,,0.963063
Average X value:,0.055997, Average Y value:,1.557181, Average Z value:,0.341061, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.313068, Max Z values:,0.265092,-0.179027,,,0.963944
Average X value:,0.066374, Average Y value:,1.625472, Average Z value:,0.350394, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.456144, Max Z values:,0.265092,-0.179027,,,0.964954
Average X value:,0.075615, Average Y value:,1.674565, Average Z value:,0.362821, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.555393, Max Z values:,0.265092,-0.179027,,,0.966433
Average X value:,0.083684, Average Y value:,1.709351, Average Z value:,0.375621, Max X values:,0.265092,-0.179027, Max Y values:,2.406214,0.619728, Max Z values:,0.265092,-0.179027,,,0.968293
Average X value:,0.091534, Average Y value:,1.733663, Average Z value:,0.386132, Max X values:,0.265092,-0.094549, Max Y values:,2.406214,0.794055, Max Z values:,0.265092,-0.094549,,,0.970402
Average X value:,0.093841, Average Y value:,1.743411, Average Z value:,0.388317, Max X values:,0.265092,-0.062199, Max Y values:,2.406214,0.989013, Max Z values:,0.265092,-0.062199,,,0.972183
Average X value:,0.08753, Average Y value:,1.736904, Average Z value:,0.380034, Max X values:,0.265092,-0.072087, Max Y values:,2.406214,0.880364, Max Z values:,0.265092,-0.072087,,,0.973225
Average X value:,0.081432, Average Y value:,1.715974, Average Z value:,0.362998, Max X values:,0.265092,-0.074773, Max Y values:,2.406214,0.719099, Max Z values:,0.265092,-0.074773,,,0.974167
Average X value:,0.080419, Average Y value:,1.68355, Average Z value:,0.348807, Max X values:,0.265092,-0.082464, Max Y values:,2.406214,0.577123, Max Z values:,0.265092,-0.082464,,,0.975736
Average X value:,0.076933, Average Y value:,1.63243, Average Z value:,0.338595, Max X values:,0.265092,-0.082464, Max Y values:,2.406214,0.44479, Max Z values:,0.265092,-0.082464,,,0.977394
Average X value:,0.067063, Average Y value:,1.564622, Average Z value:,0.333217, Max X values:,0.265092,-0.098334, Max Y values:,2.406214,0.33138, Max Z values:,0.265092,-0.098334,,,0.978391
Average X value:,0.056168, Average Y value:,1.483251, Average Z value:,0.329756, Max X values:,0.265092,-0.112739, Max Y values:,2.406214,0.263139, Max Z values:,0.265092,-0.112739,,,0.979967
Average X value:,0.045303, Average Y value:,1.392565, Average Z value:,0.325575, Max X values:,0.265092,-0.118721, Max Y values:,2.406214,0.202222, Max Z values:,0.265092,-0.118721,,,0.983236
Average X value:,0.029354, Average Y value:,1.293542, Average Z value:,0.315931, Max X values:,0.265092,-0.13398, Max Y values:,2.406214,0.181957, Max Z values:,0.265092,-0.13398,,,0.987614
Average X value:,0.009418, Average Y value:,1.187273, Average Z value:,0.303064, Max X values:,0.241165,-0.13398, Max Y values:,2.406214,0.172313, Max Z values:,0.241165,-0.13398,,,0.991124
Average X value:,-0.009498, Average Y value:,1.074119, Average Z value:,0.290093, Max X values:,0.216993,-0.137154, Max Y values:,2.406214,0.130074, Max Z values:,0.216993,-0.137154,,,0.993548
Average X value:,-0.026412, Average Y value:,0.957731, Average Z value:,0.279784, Max X values:,0.164134,-0.137154, Max Y values:,2.405603,0.078435, Max Z values:,0.164134,-0.137154,,,0.996211
Average X value:,-0.040768, Average Y value:,0.83912, Average Z value:,0.27274, Max X values:,0.13398,-0.137154, Max Y values:,2.30025,0.033388, Max Z values:,0.13398,-0.137154,,,0.999943
Average X value:,-0.05264, Average Y value:,0.725636, Average Z value:,0.270085, Max X values:,0.102362,-0.137154, Max Y values:,2.096747,0.030581, Max Z values:,0.102362,-0.137154,,,1.002992
Average X value:,-0.062418, Average Y value:,0.623775, Average Z value:,0.268034, Max X values:,0.102362,-0.137154, Max Y values:,1.908136,0.030581, Max Z values:,0.102362,-0.137154,,,1.004361
Average X value:,-0.072423, Average Y value:,0.533547, Average Z value:,0.263016, Max X values:,0.102362,-0.137154, Max Y values:,1.678874,0.030581, Max Z values:,0.102362,-0.137154,,,1.005898
Average X value:,-0.083123, Average Y value:,0.45701, Average Z value:,0.250546, Max X values:,0.102362,-0.137154, Max Y values:,1.438015,0.030581, Max Z values:,0.102362,-0.137154,,,1.007843
Average X value:,-0.093219, Average Y value:,0.395331, Average Z value:,0.235982, Max X values:,0.047427,-0.137154, Max Y values:,1.251114,0.030581, Max Z values:,0.047427,-0.137154,,,1.010269
Average X value:,-0.099353, Average Y value:,0.346371, Average Z value:,0.222474, Max X values:,-0.022035,-0.137154, Max Y values:,1.105963,0.030581, Max Z values:,-0.022035,-0.137154,,,1.01101
Average X value:,-0.101441, Average Y value:,0.308637, Average Z value:,0.213227, Max X values:,-0.048404,-0.137154, Max Y values:,0.989013,0.030581, Max Z values:,-0.048404,-0.137154,,,1.010856
Average X value:,-0.102899, Average Y value:,0.280864, Average Z value:,0.209614, Max X values:,-0.063786,-0.137154, Max Y values:,0.880364,0.030581, Max Z values:,-0.063786,-0.137154,,,1.010894
Average X value:,-0.101599, Average Y value:,0.26735, Average Z value:,0.215217, Max X values:,-0.046084,-0.137154, Max Y values:,0.719099,0.030581, Max Z values:,-0.046084,-0.137154,,,1.01074
Average X value:,-0.099237, Average Y value:,0.27155, Average Z value:,0.227101, Max X values:,-0.027529,-0.137154, Max Y values:,0.803089,0.030581, Max Z values:,-0.027529,-0.137154,,,1.009463
Average X value:,-0.097125, Average Y value:,0.2906, Average Z value:,0.234664, Max X values:,-0.027529,-0.137154, Max Y values:,0.958127,0.030581, Max Z values:,-0.027529,-0.137154,,,1.007414
Average X value:,-0.097998, Average Y value:,0.321736, Average Z value:,0.234896, Max X values:,-0.027529,-0.137154, Max Y values:,1.067509,0.030581, Max Z values:,-0.027529,-0.137154,,,1.004109
Average X value:,-0.091192, Average Y value:,0.370506, Average Z value:,0.230538, Max X values:,0.037783,-0.137154, Max Y values:,1.306782,0.030581, Max Z values:,0.037783,-0.137154,,,1.000254
Average X value:,-0.079039, Average Y value:,0.432967, Average Z value:,0.227455, Max X values:,0.130318,-0.137154, Max Y values:,1.51236,0.030581, Max Z values:,0.130318,-0.137154,,,0.996753
Average X value:,-0.067533, Average Y value:,0.501959, Average Z value:,0.229439, Max X values:,0.130318,-0.137154, Max Y values:,1.582067,0.030581, Max Z values:,0.130318,-0.137154,,,0.99349
Average X value:,-0.057462, Average Y value:,0.577501, Average Z value:,0.237496, Max X values:,0.130318,-0.137154, Max Y values:,1.692791,0.030581, Max Z values:,0.130318,-0.137154,,,0.991013
Average X value:,-0.046512, Average Y value:,0.662052, Average Z value:,0.249612, Max X values:,0.130318,-0.137154, Max Y values:,1.863334,0.030581, Max Z values:,0.130318,-0.137154,,,0.989083
Average X value:,-0.030837, Average Y value:,0.75839, Average Z value:,0.261814, Max X values:,0.176341,-0.123482, Max Y values:,2.056827,0.030581, Max Z values:,0.176341,-0.123482,,,0.987388
Average X value:,-0.012147, Average Y value:,0.86301, Average Z value:,0.270256, Max X values:,0.252518,-0.123482, Max Y values:,2.170848,0.030581, Max Z values:,0.252518,-0.123482,,,0.985854
Average X value:,0.006885, Average Y value:,0.972954, Average Z value:,0.273625, Max X values:,0.257645,-0.123482, Max Y values:,2.232253,0.030581, Max Z values:,0.257645,-0.123482,,,0.984744
Average X value:,0.024989, Average Y value:,1.084801, Average Z value:,0.275896, Max X values:,0.258622,-0.123482, Max Y values:,2.267533,0.059513, Max Z values:,0.258622,-0.123482,,,0.983519
Average X value:,0.040609, Average Y value:,1.197381, Average Z value:,0.278942, Max X values:,0.258622,-0.123482, Max Y values:,2.311115,0.103583, Max Z values:,0.258622,-0.123482,,,0.982361
Average X value:,0.053641, Average Y value:,1.30633, Average Z value:,0.282207, Max X values:,0.258622,-0.112006, Max Y values:,2.311115,0.148141, Max Z values:,0.258622,-0.112006,,,0.981544
Average X value:,0.067381, Average Y value:,1.407172, Average Z value:,0.28471, Max X values:,0.258622,-0.099554, Max Y values:,2.311115,0.204419, Max Z values:,0.258622,-0.099554,,,0.981335
Average X value:,0.081273, Average Y value:,1.493512, Average Z value:,0.286645, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.271928, Max Z values:,0.258622,-0.099432,,,0.981539
Average X value:,0.093566, Average Y value:,1.567625, Average Z value:,0.28897, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.351279, Max Z values:,0.258622,-0.099432,,,0.982087
Average X value:,0.104517, Average Y value:,1.627565, Average Z value:,0.291662, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.433559, Max Z values:,0.258622,-0.099432,,,0.982713
Average X value:,0.117341, Average Y value:,1.67426, Average Z value:,0.294159, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.610084, Max Z values:,0.258622,-0.099432,,,0.983382
Average X value:,0.126735, Average Y value:,1.703436, Average Z value:,0.293261, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.803089, Max Z values:,0.258622,-0.099432,,,0.983529
Average X value:,0.133327, Average Y value:,1.716224, Average Z value:,0.289813, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.958127, Max Z values:,0.258622,-0.099432,,,0.98366
Average X value:,0.137869, Average Y value:,1.716438, Average Z value:,0.287609, Max X values:,0.258622,-0.099432, Max Y values:,2.311115,0.9624, Max Z values:,0.258622,-0.099432,,,0.983931
Average X value:,0.142959, Average Y value:,1.705426, Average Z value:,0.288574, Max X values:,0.258622,0.00238, Max Y values:,2.311115,0.847281, Max Z values:,0.258622,0.00238,,,0.984553
Average X value:,0.138882, Average Y value:,1.678368, Average Z value:,0.288805, Max X values:,0.258622,-0.043765, Max Y values:,2.311115,0.765611, Max Z values:,0.258622,-0.043765,,,0.98543
Average X value:,0.127419, Average Y value:,1.637563, Average Z value:,0.285436, Max X values:,0.258622,-0.098944, Max Y values:,2.311115,0.69627, Max Z values:,0.258622,-0.098944,,,0.986443
Average X value:,0.116798, Average Y value:,1.587914, Average Z value:,0.277263, Max X values:,0.258622,-0.101019, Max Y values:,2.311115,0.589086, Max Z values:,0.258622,-0.101019,,,0.987232
Average X value:,0.108857, Average Y value:,1.528615, Average Z value:,0.268376, Max X values:,0.258622,-0.101019, Max Y values:,2.311115,0.506806, Max Z values:,0.258622,-0.101019,,,0.987489
Average X value:,0.099805, Average Y value:,1.454404, Average Z value:,0.259409, Max X values:,0.258622,-0.101019, Max Y values:,2.311115,0.379112, Max Z values:,0.258622,-0.101019,,,0.987701
Average X value:,0.086883, Average Y value:,1.36489, Average Z value:,0.253562, Max X values:,0.258622,-0.101019, Max Y values:,2.311115,0.266557, Max Z values:,0.258622,-0.101019,,,0.988073
Average X value:,0.069181, Average Y value:,1.265519, Average Z value:,0.25217, Max X values:,0.258622,-0.101508, Max Y values:,2.311115,0.183422, Max Z values:,0.258622,-0.101508,,,0.988561
Average X value:,0.049936, Average Y value:,1.160087, Average Z value:,0.253794, Max X values:,0.258622,-0.127266, Max Y values:,2.311115,0.123604, Max Z values:,0.258622,-0.127266,,,0.989169
Average X value:,0.029885, Average Y value:,1.051602, Average Z value:,0.254734, Max X values:,0.199658,-0.142404, Max Y values:,2.311115,0.097845, Max Z values:,0.199658,-0.142404,,,0.989709
Average X value:,0.0115, Average Y value:,0.938454, Average Z value:,0.253659, Max X values:,0.178905,-0.16804, Max Y values:,2.282549,0.04816, Max Z values:,0.178905,-0.16804,,,0.989553
Average X value:,-0.003638, Average Y value:,0.824434, Average Z value:,0.251798, Max X values:,0.178905,-0.16804, Max Y values:,2.164988,0.002136, Max Z values:,0.178905,-0.16804,,,0.988176
Average X value:,-0.017958, Average Y value:,0.715803, Average Z value:,0.250949, Max X values:,0.178905,-0.16804, Max Y values:,1.931209,-0.00763, Max Z values:,0.178905,-0.16804,,,0.987789
Average X value:,-0.033101, Average Y value:,0.619258, Average Z value:,0.249264, Max X values:,0.178905,-0.16804, Max Y values:,1.754196,-0.00763, Max Z values:,0.178905,-0.16804,,,0.987895
Average X value:,-0.048135, Average Y value:,0.533718, Average Z value:,0.244601, Max X values:,0.178905,-0.16804, Max Y values:,1.550082,-0.00763, Max Z values:,0.178905,-0.16804,,,0.988296
Average X value:,-0.06182, Average Y value:,0.460929, Average Z value:,0.237374, Max X values:,0.178905,-0.16804, Max Y values:,1.367454,-0.00763, Max Z values:,0.178905,-0.16804,,,0.988104
Average X value:,-0.076177, Average Y value:,0.400409, Average Z value:,0.229348, Max X values:,0.141793,-0.16804, Max Y values:,1.193615,-0.00763, Max Z values:,0.141793,-0.16804,,,0.986687
Average X value:,-0.08839, Average Y value:,0.352939, Average Z value:,0.223177, Max X values:,0.104315,-0.16804, Max Y values:,1.058841,-0.00763, Max Z values:,0.104315,-0.16804,,,0.98442
Average X value:,-0.097156, Average Y value:,0.31786, Average Z value:,0.219648, Max X values:,0.050601,-0.16804, Max Y values:,0.9624,-0.00763, Max Z values:,0.050601,-0.16804,,,0.983535
Average X value:,-0.100952, Average Y value:,0.295074, Average Z value:,0.217988, Max X values:,0.00238,-0.16804, Max Y values:,0.847281,-0.00763, Max Z values:,0.00238,-0.16804,,,0.98325
Average X value:,-0.100525, Average Y value:,0.286376, Average Z value:,0.217439, Max X values:,0.010926,-0.16804, Max Y values:,0.765611,-0.00763, Max Z values:,0.010926,-0.16804,,,0.983075
Average X value:,-0.098364, Average Y value:,0.289025, Average Z value:,0.218501, Max X values:,0.010926,-0.16804, Max Y values:,0.818592,-0.00763, Max Z values:,0.010926,-0.16804,,,0.982282
Average X value:,-0.092633, Average Y value:,0.303217, Average Z value:,0.221388, Max X values:,0.015687,-0.16804, Max Y values:,0.980101,-0.00763, Max Z values:,0.015687,-0.16804,,,0.982241
Average X value:,-0.084459, Average Y value:,0.333919, Average Z value:,0.226216, Max X values:,0.062443,-0.16804, Max Y values:,1.203137,-0.00763, Max Z values:,0.062443,-0.16804,,,0.982704
Average X value:,-0.074937, Average Y value:,0.379143, Average Z value:,0.230562, Max X values:,0.099066,-0.16804, Max Y values:,1.41128,-0.00763, Max Z values:,0.099066,-0.16804,,,0.982194
Average X value:,-0.064848, Average Y value:,0.436294, Average Z value:,0.234511, Max X values:,0.106147,-0.16804, Max Y values:,1.522127,-0.00763, Max Z values:,0.106147,-0.16804,,,0.980958
Average X value:,-0.053946, Average Y value:,0.506971, Average Z value:,0.237801, Max X values:,0.135934,-0.16804, Max Y values:,1.680095,-0.00763, Max Z values:,0.135934,-0.16804,,,0.980762
Average X value:,-0.042172, Average Y value:,0.587389, Average Z value:,0.240103, Max X values:,0.135934,-0.16804, Max Y values:,1.791796,-0.00763, Max Z values:,0.135934,-0.16804,,,0.981094
Average X value:,-0.027168, Average Y value:,0.679393, Average Z value:,0.24219, Max X values:,0.172801,-0.16804, Max Y values:,1.963682,-0.00763, Max Z values:,0.172801,-0.16804,,,0.981851
Average X value:,-0.011378, Average Y value:,0.778728, Average Z value:,0.242819, Max X values:,0.173411,-0.16804, Max Y values:,2.084539,-0.00763, Max Z values:,0.173411,-0.16804,,,0.982846
Average X value:,0.006501, Average Y value:,0.88449, Average Z value:,0.243179, Max X values:,0.189526,-0.165599, Max Y values:,2.163401,-0.00763, Max Z values:,0.189526,-0.165599,,,0.983884
Average X value:,0.025154, Average Y value:,0.995154, Average Z value:,0.244729, Max X values:,0.207471,-0.130074, Max Y values:,2.215406,-0.00763, Max Z values:,0.207471,-0.130074,,,0.984864
Average X value:,0.041128, Average Y value:,1.10882, Average Z value:,0.246658, Max X values:,0.207471,-0.130074, Max Y values:,2.265702,0.000305, Max Z values:,0.207471,-0.130074,,,0.985376
Average X value:,0.055417, Average Y value:,1.223219, Average Z value:,0.247287, Max X values:,0.207471,-0.130074, Max Y values:,2.288287,0.043399, Max Z values:,0.207471,-0.130074,,,0.985489
Average X value:,0.069792, Average Y value:,1.332808, Average Z value:,0.246011, Max X values:,0.207471,-0.118476, Max Y values:,2.288287,0.094305, Max Z values:,0.207471,-0.118476,,,0.985414
Average X value:,0.082903, Average Y value:,1.434615, Average Z value:,0.245566, Max X values:,0.207471,-0.108222, Max Y values:,2.288287,0.157053, Max Z values:,0.207471,-0.108222,,,0.986418
Average X value:,0.094806, Average Y value:,1.527718, Average Z value:,0.246542, Max X values:,0.207471,-0.102484, Max Y values:,2.288287,0.244217, Max Z values:,0.207471,-0.102484,,,0.988134
Average X value:,0.105329, Average Y value:,1.608918, Average Z value:,0.249087, Max X values:,0.207471,-0.070988, Max Y values:,2.288287,0.357261, Max Z values:,0.207471,-0.070988,,,0.989615
Average X value:,0.114924, Average Y value:,1.675829, Average Z value:,0.250497, Max X values:,0.207471,-0.025331, Max Y values:,2.288287,0.506684, Max Z values:,0.207471,-0.025331,,,0.990663
Average X value:,0.122053, Average Y value:,1.72433, Average Z value:,0.250247, Max X values:,0.207471,-0.000549, Max Y values:,2.288287,0.67332, Max Z values:,0.207471,-0.000549,,,0.991304
Average X value:,0.128933, Average Y value:,1.752231, Average Z value:,0.248025, Max X values:,0.207471,-0.000549, Max Y values:,2.288287,0.818592, Max Z values:,0.207471,-0.000549,,,0.992093
Average X value:,0.134658, Average Y value:,1.765006, Average Z value:,0.246463, Max X values:,0.207471,0.015687, Max Y values:,2.288287,0.980101, Max Z values:,0.207471,0.015687,,,0.993204
Average X value:,0.134701, Average Y value:,1.762003, Average Z value:,0.244491, Max X values:,0.207471,0.016541, Max Y values:,2.288287,0.920039, Max Z values:,0.207471,0.016541,,,0.99489
Average X value:,0.13138, Average Y value:,1.742514, Average Z value:,0.241787, Max X values:,0.207471,-0.003968, Max Y values:,2.288287,0.813343, Max Z values:,0.207471,-0.003968,,,0.996969
Average X value:,0.125697, Average Y value:,1.705731, Average Z value:,0.237454, Max X values:,0.207471,-0.014588, Max Y values:,2.288287,0.675639, Max Z values:,0.207471,-0.014588,,,0.999396
Average X value:,0.119319, Average Y value:,1.656467, Average Z value:,0.231435, Max X values:,0.207471,-0.021425, Max Y values:,2.288287,0.536837, Max Z values:,0.207471,-0.021425,,,1.001847
Average X value:,0.109821, Average Y value:,1.593817, Average Z value:,0.225069, Max X values:,0.207471,-0.054019, Max Y values:,2.288287,0.427089, Max Z values:,0.207471,-0.054019,,,1.003628
Average X value:,0.096551, Average Y value:,1.523207, Average Z value:,0.221583, Max X values:,0.207471,-0.131417, Max Y values:,2.288287,0.379601, Max Z values:,0.207471,-0.131417,,,1.004552
Average X value:,0.080291, Average Y value:,1.440023, Average Z value:,0.219172, Max X values:,0.207471,-0.152414, Max Y values:,2.288287,0.300006, Max Z values:,0.207471,-0.152414,,,1.004915
Average X value:,0.063291, Average Y value:,1.347189, Average Z value:,0.220564, Max X values:,0.207471,-0.166575, Max Y values:,2.288287,0.227858, Max Z values:,0.207471,-0.166575,,,1.00495
Average X value:,0.044913, Average Y value:,1.246908, Average Z value:,0.222664, Max X values:,0.207471,-0.17805, Max Y values:,2.288287,0.157786, Max Z values:,0.207471,-0.17805,,,1.004586
Average X value:,0.026729, Average Y value:,1.140774, Average Z value:,0.224269, Max X values:,0.195874,-0.17805, Max Y values:,2.288287,0.092718, Max Z values:,0.195874,-0.17805,,,1.003947
Average X value:,0.00998, Average Y value:,1.02881, Average Z value:,0.225716, Max X values:,0.161204,-0.17805, Max Y values:,2.288287,0.02643, Max Z values:,0.161204,-0.17805,,,1.003248
Average X value:,-0.004908, Average Y value:,0.91247, Average Z value:,0.226991, Max X values:,0.157419,-0.17805, Max Y values:,2.235183,-0.038516, Max Z values:,0.157419,-0.17805,,,1.002616
Average X value:,-0.019801, Average Y value:,0.797491, Average Z value:,0.229525, Max X values:,0.148508,-0.17805, Max Y values:,2.13044,-0.064396, Max Z values:,0.148508,-0.17805,,,1.001719
Average X value:,-0.033498, Average Y value:,0.688854, Average Z value:,0.22936, Max X values:,0.148508,-0.17805, Max Y values:,2.019105,-0.064396, Max Z values:,0.148508,-0.17805,,,1.000457
Average X value:,-0.045474, Average Y value:,0.588146, Average Z value:,0.225539, Max X values:,0.148508,-0.17805, Max Y values:,1.868217,-0.064396, Max Z values:,0.148508,-0.17805,,,0.999047
Average X value:,-0.056064, Average Y value:,0.496948, Average Z value:,0.219887, Max X values:,0.148508,-0.17805, Max Y values:,1.695477,-0.064396, Max Z values:,0.148508,-0.17805,,,0.998358
Average X value:,-0.0658, Average Y value:,0.417732, Average Z value:,0.21515, Max X values:,0.148508,-0.17805, Max Y values:,1.476714,-0.064396, Max Z values:,0.148508,-0.17805,,,0.998277
Average X value:,-0.07473, Average Y value:,0.353098, Average Z value:,0.211597, Max X values:,0.148508,-0.17805, Max Y values:,1.231337,-0.064396, Max Z values:,0.148508,-0.17805,,,0.998325
Average X value:,-0.085186, Average Y value:,0.3047, Average Z value:,0.211176, Max X values:,0.11396,-0.17805, Max Y values:,1.074101,-0.064396, Max Z values:,0.11396,-0.17805,,,0.998584
Average X value:,-0.093902, Average Y value:,0.269896, Average Z value:,0.211695, Max X values:,0.016541,-0.17805, Max Y values:,0.920039,-0.064396, Max Z values:,0.016541,-0.17805,,,0.999104
Average X value:,-0.094653, Average Y value:,0.250052, Average Z value:,0.214765, Max X values:,0.001526,-0.17805, Max Y values:,0.813343,-0.064396, Max Z values:,0.001526,-0.17805,,,0.999261
Average X value:,-0.091479, Average Y value:,0.242092, Average Z value:,0.219008, Max X values:,0.059513,-0.17805, Max Y values:,0.675639,-0.064396, Max Z values:,0.059513,-0.17805,,,0.998855
Average X value:,-0.087804, Average Y value:,0.246243, Average Z value:,0.226686, Max X values:,0.059513,-0.17805, Max Y values:,0.758652,-0.064396, Max Z values:,0.059513,-0.17805,,,0.997804
Average X value:,-0.086413, Average Y value:,0.262937, Average Z value:,0.236245, Max X values:,0.059513,-0.17805, Max Y values:,0.87072,-0.064396, Max Z values:,0.059513,-0.17805,,,0.996147
Average X value:,-0.078441, Average Y value:,0.297467, Average Z value:,0.245211, Max X values:,0.105414,-0.17805, Max Y values:,1.117683,-0.064396, Max Z values:,0.105414,-0.17805,,,0.994466
Average X value:,-0.061527, Average Y value:,0.34639, Average Z value:,0.252701, Max X values:,0.206861,-0.17805, Max Y values:,1.358054,-0.064396, Max Z values:,0.206861,-0.17805,,,0.991866
Average X value:,-0.04476, Average Y value:,0.40398, Average Z value:,0.261204, Max X values:,0.206861,-0.17805, Max Y values:,1.45181,-0.064396, Max Z values:,0.206861,-0.17805,,,0.987815
