You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,-0.066709, Average Y value:,0.181408, Average Z value:,0.108576, Max X values:,0.134835,-0.208326, Max Y values:,1.300189,-0.292559, Max Z values:,0.134835,-0.208326,,,0.864901
Average X value:,-0.059305, Average Y value:,0.222218, Average Z value:,0.123237, Max X values:,0.138131,-0.208326, Max Y values:,1.518098,-0.292559, Max Z values:,0.138131,-0.208326,,,0.865723
Average X value:,-0.055606, Average Y value:,0.280504, Average Z value:,0.138125, Max X values:,0.138131,-0.208326, Max Y values:,1.666178,-0.292559, Max Z values:,0.138131,-0.208326,,,0.868031
Average X value:,-0.046017, Average Y value:,0.356907, Average Z value:,0.160428, Max X values:,0.138131,-0.208326, Max Y values:,1.804737,-0.292559, Max Z values:,0.138131,-0.208326,,,0.871943
Average X value:,-0.031545, Average Y value:,0.449252, Average Z value:,0.18897, Max X values:,0.138131,-0.208326, Max Y values:,1.986755,-0.292559, Max Z values:,0.138131,-0.208326,,,0.877242
Average X value:,-0.016975, Average Y value:,0.563725, Average Z value:,0.213404, Max X values:,0.138131,-0.190014, Max Y values:,2.212965,-0.292559, Max Z values:,0.138131,-0.190014,,,0.884176
Average X value:,-0.005481, Average Y value:,0.69237, Average Z value:,0.233559, Max X values:,0.138131,-0.134224, Max Y values:,2.331136,-0.292559, Max Z values:,0.138131,-0.134224,,,0.892843
Average X value:,0.003192, Average Y value:,0.824336, Average Z value:,0.256144, Max X values:,0.138131,-0.134224, Max Y values:,2.359824,-0.292559, Max Z values:,0.138131,-0.134224,,,0.903628
Average X value:,0.014484, Average Y value:,0.95665, Average Z value:,0.279613, Max X values:,0.138131,-0.134224, Max Y values:,2.359824,-0.283648, Max Z values:,0.138131,-0.134224,,,0.916803
Average X value:,0.026167, Average Y value:,1.085583, Average Z value:,0.303662, Max X values:,0.138131,-0.111518, Max Y values:,2.359824,-0.279009, Max Z values:,0.138131,-0.111518,,,0.931392
Average X value:,0.035537, Average Y value:,1.206611, Average Z value:,0.327834, Max X values:,0.138131,-0.072575, Max Y values:,2.359824,-0.254105, Max Z values:,0.138131,-0.072575,,,0.946635
Average X value:,0.043411, Average Y value:,1.314503, Average Z value:,0.349765, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,-0.20503, Max Z values:,0.138131,-0.062199,,,0.96127
Average X value:,0.050723, Average Y value:,1.408277, Average Z value:,0.368449, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,-0.127876, Max Z values:,0.138131,-0.062199,,,0.976278
Average X value:,0.05745, Average Y value:,1.491259, Average Z value:,0.387072, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,-0.010071, Max Z values:,0.138131,-0.062199,,,0.993071
Average X value:,0.06204, Average Y value:,1.561222, Average Z value:,0.403418, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,0.1363, Max Z values:,0.138131,-0.062199,,,1.00959
Average X value:,0.065507, Average Y value:,1.6175, Average Z value:,0.416395, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,0.326131, Max Z values:,0.138131,-0.062199,,,1.025053
