You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,-0.048088, Average Y value:,0.981586, Average Z value:,0.248798, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.054377, Average Y value:,0.981594, Average Z value:,0.248959, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.059973, Average Y value:,0.9816, Average Z value:,0.249814, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.063396, Average Y value:,0.981307, Average Z value:,0.250198, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.065091, Average Y value:,0.981545, Average Z value:,0.250163, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.065226, Average Y value:,0.981727, Average Z value:,0.249406, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.063421, Average Y value:,0.981742, Average Z value:,0.247903, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.059706, Average Y value:,0.982279, Average Z value:,0.246585, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.054788, Average Y value:,0.98221, Average Z value:,0.245811, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.048209, Average Y value:,0.98242, Average Z value:,0.245473, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.040173, Average Y value:,0.982272, Average Z value:,0.244656, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.033034, Average Y value:,0.982025, Average Z value:,0.244756, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.026377, Average Y value:,0.981799, Average Z value:,0.244329, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.018091, Average Y value:,0.981914, Average Z value:,0.243859, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.008571, Average Y value:,0.981912, Average Z value:,0.24315, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.00124, Average Y value:,0.981917, Average Z value:,0.242725, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.010682, Average Y value:,0.981182, Average Z value:,0.242376, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.019982, Average Y value:,0.981532, Average Z value:,0.242472, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.028323, Average Y value:,0.981633, Average Z value:,0.242518, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.035951, Average Y value:,0.981122, Average Z value:,0.242545, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.040988, Average Y value:,0.981083, Average Z value:,0.242847, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.044814, Average Y value:,0.980962, Average Z value:,0.242395, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.04883, Average Y value:,0.980962, Average Z value:,0.242394, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.052407, Average Y value:,0.981544, Average Z value:,0.241948, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.05537, Average Y value:,0.981732, Average Z value:,0.241443, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.057121, Average Y value:,0.981859, Average Z value:,0.240785, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.057486, Average Y value:,0.982157, Average Z value:,0.24051, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.056192, Average Y value:,0.982197, Average Z value:,0.24043, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.054327, Average Y value:,0.982696, Average Z value:,0.240787, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.050606, Average Y value:,0.982196, Average Z value:,0.241371, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.045994, Average Y value:,0.982125, Average Z value:,0.241471, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.040665, Average Y value:,0.98205, Average Z value:,0.241714, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.035105, Average Y value:,0.981641, Average Z value:,0.241947, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.032324, Average Y value:,0.981232, Average Z value:,0.241734, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.027273, Average Y value:,0.981517, Average Z value:,0.241632, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.021032, Average Y value:,0.981646, Average Z value:,0.242219, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.013619, Average Y value:,0.981557, Average Z value:,0.24323, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.005653, Average Y value:,0.981211, Average Z value:,0.244064, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.00272, Average Y value:,0.980841, Average Z value:,0.244296, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.010909, Average Y value:,0.98072, Average Z value:,0.244312, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.019524, Average Y value:,0.980339, Average Z value:,0.244568, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.02806, Average Y value:,0.9796, Average Z value:,0.244932, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.036111, Average Y value:,0.97817, Average Z value:,0.244978, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.042267, Average Y value:,0.977821, Average Z value:,0.244994, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.048386, Average Y value:,0.977952, Average Z value:,0.245108, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.054228, Average Y value:,0.97812, Average Z value:,0.245313, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.05874, Average Y value:,0.978108, Average Z value:,0.245231, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.061609, Average Y value:,0.977363, Average Z value:,0.245031, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.062549, Average Y value:,0.977162, Average Z value:,0.244674, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.061627, Average Y value:,0.97751, Average Z value:,0.244312, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.059033, Average Y value:,0.976682, Average Z value:,0.243443, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.054807, Average Y value:,0.97728, Average Z value:,0.242726, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.049058, Average Y value:,0.977045, Average Z value:,0.242067, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.042019, Average Y value:,0.977871, Average Z value:,0.241946, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.034268, Average Y value:,0.977178, Average Z value:,0.241777, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.028666, Average Y value:,0.977187, Average Z value:,0.241922, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.02095, Average Y value:,0.977502, Average Z value:,0.241543, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.011695, Average Y value:,0.977178, Average Z value:,0.240115, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,-0.002026, Average Y value:,0.978102, Average Z value:,0.238812, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.00716, Average Y value:,0.978271, Average Z value:,0.238169, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.016329, Average Y value:,0.978649, Average Z value:,0.237648, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.024849, Average Y value:,0.978702, Average Z value:,0.237195, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.032823, Average Y value:,0.979501, Average Z value:,0.237157, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.039768, Average Y value:,0.979354, Average Z value:,0.236964, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.044026, Average Y value:,0.979641, Average Z value:,0.23624, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.048448, Average Y value:,0.979758, Average Z value:,0.235818, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.052447, Average Y value:,0.979949, Average Z value:,0.235373, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.055805, Average Y value:,0.98051, Average Z value:,0.235255, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.058083, Average Y value:,0.980881, Average Z value:,0.235144, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.058758, Average Y value:,0.980167, Average Z value:,0.234673, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.058104, Average Y value:,0.980015, Average Z value:,0.234105, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.055517, Average Y value:,0.980531, Average Z value:,0.233829, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.052144, Average Y value:,0.981265, Average Z value:,0.233642, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.047712, Average Y value:,0.979915, Average Z value:,0.233922, Max X values:,0.662089,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.732161
Average X value:,0.042601, Average Y value:,0.980136, Average Z value:,0.234673, Max X values:,0.649515,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.649515,-0.732161
Average X value:,0.037218, Average Y value:,0.980271, Average Z value:,0.235381, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,0.032281, Average Y value:,0.98031, Average Z value:,0.235664, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,0.029022, Average Y value:,0.980266, Average Z value:,0.23553, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,0.024882, Average Y value:,0.980596, Average Z value:,0.234876, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,0.019593, Average Y value:,0.98077, Average Z value:,0.234836, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,0.013189, Average Y value:,0.981044, Average Z value:,0.235963, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,0.005871, Average Y value:,0.979703, Average Z value:,0.236667, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.002365, Average Y value:,0.979036, Average Z value:,0.237436, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.010633, Average Y value:,0.979499, Average Z value:,0.238267, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.018176, Average Y value:,0.97881, Average Z value:,0.238152, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.0261, Average Y value:,0.978458, Average Z value:,0.238398, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.03411, Average Y value:,0.979155, Average Z value:,0.239061, Max X values:,0.579198,-0.732161, Max Y values:,1.11988,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.041565, Average Y value:,0.977276, Average Z value:,0.240599, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.047371, Average Y value:,0.977397, Average Z value:,0.241386, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.052634, Average Y value:,0.9773, Average Z value:,0.241493, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.056722, Average Y value:,0.976676, Average Z value:,0.242152, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.0592, Average Y value:,0.97708, Average Z value:,0.243161, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.060039, Average Y value:,0.976289, Average Z value:,0.243587, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.848624, Max Z values:,0.579198,-0.732161
Average X value:,-0.058552, Average Y value:,0.977772, Average Z value:,0.243435, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.914546, Max Z values:,0.579198,-0.732161
Average X value:,-0.05529, Average Y value:,0.97749, Average Z value:,0.24255, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.914546, Max Z values:,0.579198,-0.732161
Average X value:,-0.05075, Average Y value:,0.978125, Average Z value:,0.241931, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.914546, Max Z values:,0.579198,-0.732161
Average X value:,-0.045032, Average Y value:,0.979071, Average Z value:,0.241015, Max X values:,0.579198,-0.732161, Max Y values:,1.040774,0.914546, Max Z values:,0.579198,-0.732161
Average X value:,-0.03821, Average Y value:,0.979604, Average Z value:,0.24007, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,-0.033306, Average Y value:,0.979852, Average Z value:,0.240346, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,-0.028196, Average Y value:,0.980398, Average Z value:,0.240044, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,-0.021842, Average Y value:,0.980811, Average Z value:,0.23932, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,-0.014618, Average Y value:,0.981716, Average Z value:,0.238458, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,-0.006545, Average Y value:,0.981802, Average Z value:,0.237611, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.001152, Average Y value:,0.981613, Average Z value:,0.236943, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.00804, Average Y value:,0.98198, Average Z value:,0.236372, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.015105, Average Y value:,0.982352, Average Z value:,0.235868, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.021912, Average Y value:,0.982473, Average Z value:,0.235237, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.028317, Average Y value:,0.982482, Average Z value:,0.234771, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.034203, Average Y value:,0.983069, Average Z value:,0.234685, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.037334, Average Y value:,0.982879, Average Z value:,0.234897, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.040858, Average Y value:,0.983278, Average Z value:,0.234922, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.043661, Average Y value:,0.983622, Average Z value:,0.235388, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.04589, Average Y value:,0.983925, Average Z value:,0.235342, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.046844, Average Y value:,0.984108, Average Z value:,0.234986, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.046445, Average Y value:,0.984158, Average Z value:,0.234402, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.044853, Average Y value:,0.98375, Average Z value:,0.234012, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.04267, Average Y value:,0.984152, Average Z value:,0.23391, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.039303, Average Y value:,0.984148, Average Z value:,0.233974, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.03532, Average Y value:,0.983661, Average Z value:,0.234304, Max X values:,0.579198,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.579198,-0.645486
Average X value:,0.030632, Average Y value:,0.983861, Average Z value:,0.234713, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,0.027629, Average Y value:,0.983417, Average Z value:,0.234, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,0.024602, Average Y value:,0.983712, Average Z value:,0.233787, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,0.020413, Average Y value:,0.983872, Average Z value:,0.233444, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,0.01549, Average Y value:,0.983842, Average Z value:,0.233538, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,0.009789, Average Y value:,0.984004, Average Z value:,0.234121, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,0.00352, Average Y value:,0.983843, Average Z value:,0.235237, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.002456, Average Y value:,0.983131, Average Z value:,0.235494, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.007707, Average Y value:,0.983217, Average Z value:,0.235266, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.013553, Average Y value:,0.983475, Average Z value:,0.235226, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.019761, Average Y value:,0.984116, Average Z value:,0.235335, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.026068, Average Y value:,0.983958, Average Z value:,0.236119, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.032546, Average Y value:,0.983474, Average Z value:,0.236863, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.036495, Average Y value:,0.983731, Average Z value:,0.23707, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.040499, Average Y value:,0.983914, Average Z value:,0.237323, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.044224, Average Y value:,0.983262, Average Z value:,0.237578, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.046987, Average Y value:,0.983455, Average Z value:,0.237914, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.048591, Average Y value:,0.983786, Average Z value:,0.237817, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.048841, Average Y value:,0.983871, Average Z value:,0.23756, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.047749, Average Y value:,0.983687, Average Z value:,0.23754, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.045639, Average Y value:,0.984275, Average Z value:,0.237474, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.042116, Average Y value:,0.984072, Average Z value:,0.237077, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.037395, Average Y value:,0.984115, Average Z value:,0.23652, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.03228, Average Y value:,0.984075, Average Z value:,0.236097, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.914546, Max Z values:,0.53879,-0.645486
Average X value:,-0.027968, Average Y value:,0.983496, Average Z value:,0.235815, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.910883, Max Z values:,0.53879,-0.645486
Average X value:,-0.022682, Average Y value:,0.983521, Average Z value:,0.23547, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.910883, Max Z values:,0.53879,-0.645486
Average X value:,-0.016833, Average Y value:,0.983316, Average Z value:,0.235309, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.910883, Max Z values:,0.53879,-0.645486
Average X value:,-0.01039, Average Y value:,0.98323, Average Z value:,0.235058, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.910883, Max Z values:,0.53879,-0.645486
Average X value:,-0.003954, Average Y value:,0.983471, Average Z value:,0.234716, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.910883, Max Z values:,0.53879,-0.645486
Average X value:,0.002597, Average Y value:,0.98272, Average Z value:,0.233932, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.008877, Average Y value:,0.983197, Average Z value:,0.23311, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.014968, Average Y value:,0.983695, Average Z value:,0.23291, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.020647, Average Y value:,0.983562, Average Z value:,0.232961, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.025841, Average Y value:,0.984074, Average Z value:,0.232829, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.030507, Average Y value:,0.983935, Average Z value:,0.231878, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.034568, Average Y value:,0.984097, Average Z value:,0.230787, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.035543, Average Y value:,0.983869, Average Z value:,0.229846, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.036804, Average Y value:,0.983662, Average Z value:,0.228972, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.037374, Average Y value:,0.984419, Average Z value:,0.229031, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.037505, Average Y value:,0.984378, Average Z value:,0.229277, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
