      30,   0.015137,  -0.012702,   0.040527,   0.154001,   0.973753,   0.209791, 0,0,0,0
      46,   0.013672,  -0.012702,   0.041504,   0.157175,   0.974242,   0.209424, 0,0,0,0
      62,   0.013184,  -0.013190,   0.042969,   0.156321,   0.972044,   0.210401, 0,0,0,0
      77,   0.013672,  -0.012702,   0.043457,   0.158152,   0.968382,   0.215040, 0,0,0,0
      93,   0.013184,  -0.012213,   0.045410,   0.162547,   0.964720,   0.212965, 0,0,0,0
     108,   0.011719,  -0.011724,   0.048828,   0.170848,   0.968504,   0.217726, 0,0,0,0
     124,   0.011230,  -0.011236,   0.049805,   0.173167,   0.969481,   0.220656, 0,0,0,0
     140,   0.009277,  -0.009770,   0.052246,   0.174144,   0.966551,   0.218458, 0,0,0,0
     155,   0.008301,  -0.008305,   0.054688,   0.180614,   0.968626,   0.217481, 0,0,0,0
     171,   0.000977,  -0.003420,   0.059082,   0.196118,   0.967771,   0.208082, 0,0,0,0
     187,  -0.005862,   0.002441,   0.062988,   0.209180,   0.963499,   0.199414, 0,0,0,0
     202,  -0.006839,   0.002930,   0.063965,   0.205884,   0.962034,   0.202832, 0,0,0,0
     218,  -0.008793,   0.004883,   0.064941,   0.201733,   0.965330,   0.205396, 0,0,0,0
     233,  -0.008793,   0.004395,   0.066406,   0.205518,   0.970335,   0.208204, 0,0,0,0
     249,  -0.007328,   0.001465,   0.064941,   0.208692,   0.978881,   0.217848, 0,0,0,0
     265,  -0.012702,  -0.002931,   0.063965,   0.214918,   0.978392,   0.198926, 0,0,0,0
     280,  -0.021006,  -0.004885,   0.065430,   0.195630,   0.962888,   0.206739, 0,0,0,0
     296,  -0.023937,  -0.003420,   0.068848,   0.202588,   0.963499,   0.188915, 0,0,0,0
     312,  -0.024915,  -0.004885,   0.069824,   0.203321,   0.968992,   0.187206, 0,0,0,0
     327,  -0.025892,  -0.009282,   0.071777,   0.206372,   0.965940,   0.190869, 0,0,0,0
     343,  -0.030288,  -0.015144,   0.074219,   0.200635,   0.961301,   0.185985, 0,0,0,0
     358,  -0.033708,  -0.021006,   0.077637,   0.212476,   0.958127,   0.193310, 0,0,0,0
     374,  -0.031754,  -0.023449,   0.079102,   0.217481,   0.943722,   0.200879, 0,0,0,0
