You entered a buffer length of 100,x_100,y,y_100_long,,z_100_long,,,,,,,,,,,x_20
Average X value:,-0.001311, Average Y value:,0.984782, Average Z value:,0.215228, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.00058
Average X value:,-0.001316, Average Y value:,0.984762, Average Z value:,0.215235, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000635
Average X value:,-0.001316, Average Y value:,0.984739, Average Z value:,0.21524, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.00061
Average X value:,-0.001318, Average Y value:,0.984724, Average Z value:,0.215245, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000574
Average X value:,-0.00131, Average Y value:,0.984726, Average Z value:,0.215235, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000732
Average X value:,-0.00132, Average Y value:,0.98471, Average Z value:,0.215233, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000806
Average X value:,-0.001311, Average Y value:,0.984704, Average Z value:,0.215229, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000952
Average X value:,-0.0013, Average Y value:,0.984684, Average Z value:,0.215249, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000995
Average X value:,-0.001277, Average Y value:,0.984694, Average Z value:,0.21523, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.000989
Average X value:,-0.001276, Average Y value:,0.984702, Average Z value:,0.21524, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001068
Average X value:,-0.001267, Average Y value:,0.9847, Average Z value:,0.215235, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001019
Average X value:,-0.001242, Average Y value:,0.98469, Average Z value:,0.215235, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001062
Average X value:,-0.001242, Average Y value:,0.984684, Average Z value:,0.215234, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001135
Average X value:,-0.001233, Average Y value:,0.984701, Average Z value:,0.215266, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001233
Average X value:,-0.001205, Average Y value:,0.984695, Average Z value:,0.215289, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001233
Average X value:,-0.00122, Average Y value:,0.984683, Average Z value:,0.215279, Max X values:,0.001404,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.00531,,-0.001282
Average X value:,-0.00117, Average Y value:,0.984702, Average Z value:,0.215295, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001392
Average X value:,-0.00116, Average Y value:,0.984681, Average Z value:,0.215299, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001355
Average X value:,-0.001155, Average Y value:,0.984679, Average Z value:,0.215295, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001428
Average X value:,-0.001169, Average Y value:,0.984659, Average Z value:,0.215306, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001428
Average X value:,-0.001165, Average Y value:,0.984679, Average Z value:,0.215298, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001404
Average X value:,-0.001174, Average Y value:,0.984681, Average Z value:,0.2153, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001337
Average X value:,-0.0012, Average Y value:,0.984681, Average Z value:,0.215307, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001435
Average X value:,-0.001202, Average Y value:,0.984679, Average Z value:,0.215304, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001428
Average X value:,-0.001211, Average Y value:,0.984681, Average Z value:,0.215284, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001264
Average X value:,-0.001206, Average Y value:,0.984711, Average Z value:,0.215262, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001178
Average X value:,-0.001212, Average Y value:,0.984705, Average Z value:,0.215268, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001197
Average X value:,-0.001228, Average Y value:,0.984702, Average Z value:,0.215279, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001166
Average X value:,-0.001218, Average Y value:,0.984672, Average Z value:,0.215279, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001215
Average X value:,-0.001227, Average Y value:,0.984671, Average Z value:,0.215301, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001196
Average X value:,-0.001213, Average Y value:,0.984679, Average Z value:,0.215324, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001233
Average X value:,-0.001226, Average Y value:,0.984659, Average Z value:,0.215295, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.00119
Average X value:,-0.001226, Average Y value:,0.984637, Average Z value:,0.215284, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001111
Average X value:,-0.001243, Average Y value:,0.984611, Average Z value:,0.215254, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001093
Average X value:,-0.001223, Average Y value:,0.984602, Average Z value:,0.215256, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001184
Average X value:,-0.001231, Average Y value:,0.984593, Average Z value:,0.215288, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.981322, Max Z values:,0.001404,-0.003723,,-0.001215
Average X value:,-0.001233, Average Y value:,0.984633, Average Z value:,0.215295, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.98181, Max Z values:,0.001404,-0.003723,,-0.001142
Average X value:,-0.00122, Average Y value:,0.984655, Average Z value:,0.21529, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001105
Average X value:,-0.001251, Average Y value:,0.984655, Average Z value:,0.215284, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001062
Average X value:,-0.001249, Average Y value:,0.984652, Average Z value:,0.215293, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001111
Average X value:,-0.001227, Average Y value:,0.984655, Average Z value:,0.215292, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001111
Average X value:,-0.001242, Average Y value:,0.984661, Average Z value:,0.215287, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001209
Average X value:,-0.001238, Average Y value:,0.984659, Average Z value:,0.215284, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001141
Average X value:,-0.001234, Average Y value:,0.984628, Average Z value:,0.215273, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.00108
Average X value:,-0.001211, Average Y value:,0.984623, Average Z value:,0.215288, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001141
Average X value:,-0.00121, Average Y value:,0.98464, Average Z value:,0.21527, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001337
Average X value:,-0.001182, Average Y value:,0.984656, Average Z value:,0.215267, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001361
Average X value:,-0.001174, Average Y value:,0.98464, Average Z value:,0.215243, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001233
Average X value:,-0.001194, Average Y value:,0.98465, Average Z value:,0.215239, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001221
Average X value:,-0.001196, Average Y value:,0.984678, Average Z value:,0.215256, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001166
Average X value:,-0.001209, Average Y value:,0.984679, Average Z value:,0.215252, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001105
Average X value:,-0.001227, Average Y value:,0.984693, Average Z value:,0.215271, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001147
Average X value:,-0.001209, Average Y value:,0.984689, Average Z value:,0.215296, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001154
Average X value:,-0.00121, Average Y value:,0.984706, Average Z value:,0.215294, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.001202
Average X value:,-0.001218, Average Y value:,0.984701, Average Z value:,0.215304, Max X values:,0.001404,-0.003723, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003723,,-0.00116
Average X value:,-0.001218, Average Y value:,0.984679, Average Z value:,0.215313, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.001154
Average X value:,-0.001198, Average Y value:,0.984684, Average Z value:,0.215332, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.00108
Average X value:,-0.001207, Average Y value:,0.98467, Average Z value:,0.215355, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.001086
Average X value:,-0.0012, Average Y value:,0.984685, Average Z value:,0.215374, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.00108
Average X value:,-0.001177, Average Y value:,0.984665, Average Z value:,0.215377, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.001099
Average X value:,-0.001171, Average Y value:,0.984654, Average Z value:,0.215368, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.001099
Average X value:,-0.001156, Average Y value:,0.98464, Average Z value:,0.215371, Max X values:,0.001404,-0.003723, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003723,,-0.001032
Average X value:,-0.001116, Average Y value:,0.984648, Average Z value:,0.215411, Max X values:,0.001404,-0.003357, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003357,,-0.001123
Average X value:,-0.001121, Average Y value:,0.98465, Average Z value:,0.215418, Max X values:,0.001404,-0.003357, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003357,,-0.001172
Average X value:,-0.001104, Average Y value:,0.984679, Average Z value:,0.215414, Max X values:,0.001404,-0.003357, Max Y values:,0.986816,0.982055, Max Z values:,0.001404,-0.003357,,-0.001239
Average X value:,-0.001104, Average Y value:,0.984713, Average Z value:,0.215445, Max X values:,0.001404,-0.003357, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003357,,-0.001093
Average X value:,-0.00111, Average Y value:,0.984727, Average Z value:,0.215473, Max X values:,0.001404,-0.003357, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003357,,-0.001099
Average X value:,-0.001111, Average Y value:,0.984722, Average Z value:,0.215465, Max X values:,0.001404,-0.003357, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003357,,-0.001294
Average X value:,-0.001113, Average Y value:,0.98469, Average Z value:,0.21547, Max X values:,0.001404,-0.003357, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003357,,-0.001245
Average X value:,-0.001111, Average Y value:,0.984711, Average Z value:,0.215453, Max X values:,0.001404,-0.003357, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003357,,-0.00127
Average X value:,-0.001129, Average Y value:,0.984702, Average Z value:,0.21544, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001282
Average X value:,-0.001134, Average Y value:,0.98471, Average Z value:,0.215458, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.00127
Average X value:,-0.001137, Average Y value:,0.984698, Average Z value:,0.215439, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001294
Average X value:,-0.001127, Average Y value:,0.984688, Average Z value:,0.215418, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001209
Average X value:,-0.001107, Average Y value:,0.984695, Average Z value:,0.215429, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001257
Average X value:,-0.00109, Average Y value:,0.984684, Average Z value:,0.215439, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.00127
Average X value:,-0.001088, Average Y value:,0.984684, Average Z value:,0.215422, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.00138
Average X value:,-0.001079, Average Y value:,0.984706, Average Z value:,0.215414, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001404
Average X value:,-0.001068, Average Y value:,0.984713, Average Z value:,0.215405, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001441
Average X value:,-0.001061, Average Y value:,0.984717, Average Z value:,0.215396, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001276
Average X value:,-0.001046, Average Y value:,0.984724, Average Z value:,0.215405, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001215
Average X value:,-0.001043, Average Y value:,0.98471, Average Z value:,0.215394, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001282
Average X value:,-0.001039, Average Y value:,0.984732, Average Z value:,0.215398, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001251
Average X value:,-0.001055, Average Y value:,0.984737, Average Z value:,0.215409, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001245
Average X value:,-0.001056, Average Y value:,0.984756, Average Z value:,0.21542, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001196
Average X value:,-0.001047, Average Y value:,0.984734, Average Z value:,0.215412, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001148
Average X value:,-0.001039, Average Y value:,0.984742, Average Z value:,0.215414, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001001
Average X value:,-0.001036, Average Y value:,0.984772, Average Z value:,0.215387, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.000916
Average X value:,-0.001045, Average Y value:,0.984762, Average Z value:,0.215382, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001044
Average X value:,-0.001052, Average Y value:,0.984754, Average Z value:,0.215366, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001062
Average X value:,-0.001078, Average Y value:,0.984735, Average Z value:,0.215342, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.001123
Average X value:,-0.001084, Average Y value:,0.984718, Average Z value:,0.21534, Max X values:,0.001404,-0.003845, Max Y values:,0.98706,0.982055, Max Z values:,0.001404,-0.003845,,-0.00108
Average X value:,-0.001087, Average Y value:,0.984748, Average Z value:,0.215333, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.001123
Average X value:,-0.001074, Average Y value:,0.984771, Average Z value:,0.215332, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.001111
Average X value:,-0.001072, Average Y value:,0.98477, Average Z value:,0.215328, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.000971
Average X value:,-0.001078, Average Y value:,0.984783, Average Z value:,0.215344, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.000989
Average X value:,-0.001105, Average Y value:,0.984811, Average Z value:,0.215334, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.000952
Average X value:,-0.001102, Average Y value:,0.984836, Average Z value:,0.215337, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.001007
Average X value:,-0.001094, Average Y value:,0.984828, Average Z value:,0.215349, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.001019
Average X value:,-0.001087, Average Y value:,0.984817, Average Z value:,0.215354, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.001087
Average X value:,-0.001087, Average Y value:,0.984839, Average Z value:,0.215349, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.001056
Average X value:,-0.001095, Average Y value:,0.984851, Average Z value:,0.215357, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982055, Max Z values:,0.001404,-0.003845,,-0.000995
Average X value:,-0.00111, Average Y value:,0.984872, Average Z value:,0.21534, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.001404,-0.003845,,-0.000897
Average X value:,-0.001107, Average Y value:,0.984859, Average Z value:,0.215338, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.001404,-0.003845,,-0.000836
Average X value:,-0.001106, Average Y value:,0.984854, Average Z value:,0.215346, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.001404,-0.003845,,-0.000855
Average X value:,-0.001085, Average Y value:,0.984844, Average Z value:,0.215368, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.001404,-0.003845,,-0.001007
Average X value:,-0.00108, Average Y value:,0.984851, Average Z value:,0.215372, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.001404,-0.003845,,-0.001013
Average X value:,-0.00109, Average Y value:,0.984867, Average Z value:,0.215376, Max X values:,0.001404,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.001404,-0.003845,,-0.001111
Average X value:,-0.001118, Average Y value:,0.984858, Average Z value:,0.215392, Max X values:,0.000916,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000916,-0.003845,,-0.001032
Average X value:,-0.001122, Average Y value:,0.984855, Average Z value:,0.215394, Max X values:,0.000916,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000916,-0.003845,,-0.000965
Average X value:,-0.001117, Average Y value:,0.984867, Average Z value:,0.215405, Max X values:,0.000916,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000916,-0.003845,,-0.000952
Average X value:,-0.001134, Average Y value:,0.984873, Average Z value:,0.215409, Max X values:,0.000916,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000916,-0.003845,,-0.001001
Average X value:,-0.001132, Average Y value:,0.984879, Average Z value:,0.215399, Max X values:,0.000916,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000916,-0.003845,,-0.000952
Average X value:,-0.00115, Average Y value:,0.984873, Average Z value:,0.215381, Max X values:,0.000916,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000916,-0.003845,,-0.00108
Average X value:,-0.001181, Average Y value:,0.984887, Average Z value:,0.215357, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001111
Average X value:,-0.001167, Average Y value:,0.984903, Average Z value:,0.215396, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001099
Average X value:,-0.001183, Average Y value:,0.984895, Average Z value:,0.215367, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001129
Average X value:,-0.001181, Average Y value:,0.984897, Average Z value:,0.215353, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001056
Average X value:,-0.001181, Average Y value:,0.98489, Average Z value:,0.215351, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001178
Average X value:,-0.001168, Average Y value:,0.984904, Average Z value:,0.215343, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001251
Average X value:,-0.001184, Average Y value:,0.984881, Average Z value:,0.215313, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001337
Average X value:,-0.001188, Average Y value:,0.984872, Average Z value:,0.215298, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001337
Average X value:,-0.001163, Average Y value:,0.984866, Average Z value:,0.215332, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001361
Average X value:,-0.001172, Average Y value:,0.984866, Average Z value:,0.215355, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.00138
Average X value:,-0.001181, Average Y value:,0.984889, Average Z value:,0.215368, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001337
Average X value:,-0.001185, Average Y value:,0.984875, Average Z value:,0.215376, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001294
Average X value:,-0.00119, Average Y value:,0.984867, Average Z value:,0.215392, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001361
Average X value:,-0.001178, Average Y value:,0.98487, Average Z value:,0.215377, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982299, Max Z values:,0.000671,-0.003845,,-0.001215
Average X value:,-0.001173, Average Y value:,0.984882, Average Z value:,0.215376, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982543, Max Z values:,0.000671,-0.003845,,-0.001111
Average X value:,-0.001162, Average Y value:,0.984888, Average Z value:,0.215398, Max X values:,0.000671,-0.003845, Max Y values:,0.987182,0.982543, Max Z values:,0.000671,-0.003845,,-0.001123
Average X value:,-0.001176, Average Y value:,0.984883, Average Z value:,0.215407, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.982543, Max Z values:,0.000549,-0.003845,,-0.001044
Average X value:,-0.001166, Average Y value:,0.984868, Average Z value:,0.215428, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.982543, Max Z values:,0.000549,-0.003845,,-0.000964
Average X value:,-0.001159, Average Y value:,0.984892, Average Z value:,0.215417, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.982543, Max Z values:,0.000549,-0.003845,,-0.001111
Average X value:,-0.001157, Average Y value:,0.984915, Average Z value:,0.2154, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000989
Average X value:,-0.001168, Average Y value:,0.984911, Average Z value:,0.215403, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.00083
Average X value:,-0.001179, Average Y value:,0.984893, Average Z value:,0.21539, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.0008
Average X value:,-0.001178, Average Y value:,0.984887, Average Z value:,0.215373, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000732
Average X value:,-0.001194, Average Y value:,0.984906, Average Z value:,0.215365, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.00069
Average X value:,-0.001176, Average Y value:,0.984889, Average Z value:,0.215371, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000574
Average X value:,-0.001156, Average Y value:,0.984908, Average Z value:,0.21537, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000464
Average X value:,-0.001171, Average Y value:,0.9849, Average Z value:,0.215351, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000488
Average X value:,-0.001141, Average Y value:,0.984893, Average Z value:,0.215359, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000507
Average X value:,-0.001139, Average Y value:,0.984877, Average Z value:,0.215353, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000427
Average X value:,-0.001135, Average Y value:,0.984888, Average Z value:,0.215354, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000464
Average X value:,-0.001144, Average Y value:,0.984898, Average Z value:,0.215348, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000531
Average X value:,-0.001166, Average Y value:,0.984898, Average Z value:,0.215356, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000531
