You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.001013, Average Y value:,0.985027, Average Z value:,0.214936, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001001, Average Y value:,0.985076, Average Z value:,0.214875, Max X values:,0.000671,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.000983, Average Y value:,0.985027, Average Z value:,0.214778, Max X values:,0.000671,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001056, Average Y value:,0.98499, Average Z value:,0.214784, Max X values:,0.000671,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001148, Average Y value:,0.984996, Average Z value:,0.214796, Max X values:,0.000183,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001196, Average Y value:,0.985076, Average Z value:,0.21479, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.00116, Average Y value:,0.9851, Average Z value:,0.214857, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001215, Average Y value:,0.985143, Average Z value:,0.214991, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001306, Average Y value:,0.985106, Average Z value:,0.215119, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001239, Average Y value:,0.9851, Average Z value:,0.215119, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001227, Average Y value:,0.985039, Average Z value:,0.215101, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.00119, Average Y value:,0.985149, Average Z value:,0.214967, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001276, Average Y value:,0.985332, Average Z value:,0.215009, Max X values:,0.000183,-0.003968, Max Y values:,0.988647,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001257, Average Y value:,0.985308, Average Z value:,0.214869, Max X values:,0.000183,-0.003968, Max Y values:,0.988647,0.983397, Max Z values:,0.000183,-0.003968
Average X value:,-0.001062, Average Y value:,0.985381, Average Z value:,0.214899, Max X values:,0.000183,-0.002869, Max Y values:,0.988647,0.983397, Max Z values:,0.000183,-0.002869
Average X value:,-0.001154, Average Y value:,0.985357, Average Z value:,0.214826, Max X values:,0.000183,-0.002869, Max Y values:,0.988647,0.983397, Max Z values:,0.000183,-0.002869
Average X value:,-0.001087, Average Y value:,0.98529, Average Z value:,0.214863, Max X values:,0.000183,-0.00238, Max Y values:,0.988647,0.983397, Max Z values:,0.000183,-0.00238
Average X value:,-0.001148, Average Y value:,0.985265, Average Z value:,0.214735, Max X values:,0.000183,-0.00238, Max Y values:,0.988647,0.983397, Max Z values:,0.000183,-0.00238
Average X value:,-0.001233, Average Y value:,0.985247, Average Z value:,0.214771, Max X values:,-0.000061,-0.00238, Max Y values:,0.988647,0.983397, Max Z values:,-0.000061,-0.00238
Average X value:,-0.001178, Average Y value:,0.985222, Average Z value:,0.214899, Max X values:,0.000305,-0.00238, Max Y values:,0.988647,0.983397, Max Z values:,0.000305,-0.00238
Average X value:,-0.001221, Average Y value:,0.98518, Average Z value:,0.214985, Max X values:,0.000305,-0.00238, Max Y values:,0.988647,0.983397, Max Z values:,0.000305,-0.00238
Average X value:,-0.001251, Average Y value:,0.985174, Average Z value:,0.215083, Max X values:,0.000305,-0.00238, Max Y values:,0.988647,0.983397, Max Z values:,0.000305,-0.00238
Average X value:,-0.001404, Average Y value:,0.98518, Average Z value:,0.215131, Max X values:,0.000305,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.000305,-0.004212
Average X value:,-0.001428, Average Y value:,0.985296, Average Z value:,0.215156, Max X values:,0.000305,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.000305,-0.004212
Average X value:,-0.001416, Average Y value:,0.985241, Average Z value:,0.215199, Max X values:,0.000305,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.000305,-0.004212
Average X value:,-0.001227, Average Y value:,0.985058, Average Z value:,0.215125, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.00177,-0.004212
Average X value:,-0.00119, Average Y value:,0.984972, Average Z value:,0.214924, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.00177,-0.004212
Average X value:,-0.001178, Average Y value:,0.984899, Average Z value:,0.214796, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.00177,-0.004212
Average X value:,-0.001129, Average Y value:,0.984978, Average Z value:,0.214863, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.00177,-0.004212
Average X value:,-0.001056, Average Y value:,0.984972, Average Z value:,0.214869, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.00177,-0.004212
Average X value:,-0.00108, Average Y value:,0.985143, Average Z value:,0.214973, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983397, Max Z values:,0.00177,-0.004212
