You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.001392, Average Y value:,0.984923, Average Z value:,0.215473, Max X values:,0.000549,-0.002747, Max Y values:,0.98706,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001355, Average Y value:,0.984893, Average Z value:,0.215498, Max X values:,0.000549,-0.002747, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001428, Average Y value:,0.984826, Average Z value:,0.215455, Max X values:,0.000061,-0.002747, Max Y values:,0.986449,0.983275, Max Z values:,0.000061,-0.002747
Average X value:,-0.001428, Average Y value:,0.984795, Average Z value:,0.215498, Max X values:,0.000061,-0.002747, Max Y values:,0.986449,0.983275, Max Z values:,0.000061,-0.002747
Average X value:,-0.001404, Average Y value:,0.984801, Average Z value:,0.215394, Max X values:,0.000061,-0.002747, Max Y values:,0.986449,0.983275, Max Z values:,0.000061,-0.002747
Average X value:,-0.001337, Average Y value:,0.984832, Average Z value:,0.215351, Max X values:,0.000061,-0.002747, Max Y values:,0.986449,0.983275, Max Z values:,0.000061,-0.002747
Average X value:,-0.001435, Average Y value:,0.984917, Average Z value:,0.215266, Max X values:,0.000061,-0.002747, Max Y values:,0.986449,0.983275, Max Z values:,0.000061,-0.002747
Average X value:,-0.001428, Average Y value:,0.985051, Average Z value:,0.215205, Max X values:,0.000061,-0.002747, Max Y values:,0.986449,0.98352, Max Z values:,0.000061,-0.002747
Average X value:,-0.001264, Average Y value:,0.985106, Average Z value:,0.215162, Max X values:,0.000793,-0.002747, Max Y values:,0.986449,0.98352, Max Z values:,0.000793,-0.002747
Average X value:,-0.001178, Average Y value:,0.985229, Average Z value:,0.215199, Max X values:,0.000793,-0.002747, Max Y values:,0.986449,0.983886, Max Z values:,0.000793,-0.002747
Average X value:,-0.001197, Average Y value:,0.985277, Average Z value:,0.215168, Max X values:,0.000793,-0.002747, Max Y values:,0.986449,0.983886, Max Z values:,0.000793,-0.002747
Average X value:,-0.001166, Average Y value:,0.985155, Average Z value:,0.215144, Max X values:,0.000793,-0.002747, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002747
Average X value:,-0.001215, Average Y value:,0.985167, Average Z value:,0.21504, Max X values:,0.000793,-0.002747, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002747
Average X value:,-0.001196, Average Y value:,0.9851, Average Z value:,0.215119, Max X values:,0.000793,-0.002625, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002625
Average X value:,-0.001233, Average Y value:,0.985027, Average Z value:,0.215168, Max X values:,0.000793,-0.002625, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002625
Average X value:,-0.00119, Average Y value:,0.984978, Average Z value:,0.215028, Max X values:,0.000793,-0.002625, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002625
Average X value:,-0.001111, Average Y value:,0.984972, Average Z value:,0.215016, Max X values:,0.000793,-0.002625, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002625
Average X value:,-0.001093, Average Y value:,0.984978, Average Z value:,0.214869, Max X values:,0.000793,-0.002625, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.002625
Average X value:,-0.001184, Average Y value:,0.984984, Average Z value:,0.214796, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001215, Average Y value:,0.984978, Average Z value:,0.214845, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001142, Average Y value:,0.984978, Average Z value:,0.214906, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001105, Average Y value:,0.984948, Average Z value:,0.214881, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001062, Average Y value:,0.984936, Average Z value:,0.214948, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001111, Average Y value:,0.98493, Average Z value:,0.214839, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001111, Average Y value:,0.98493, Average Z value:,0.214894, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001209, Average Y value:,0.984948, Average Z value:,0.214887, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001141, Average Y value:,0.984899, Average Z value:,0.214942, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.00108, Average Y value:,0.984875, Average Z value:,0.214973, Max X values:,0.000793,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000793,-0.003113
Average X value:,-0.001141, Average Y value:,0.984856, Average Z value:,0.21504, Max X values:,0.000183,-0.003113, Max Y values:,0.986449,0.982177, Max Z values:,0.000183,-0.003113
Average X value:,-0.001337, Average Y value:,0.984704, Average Z value:,0.215046, Max X values:,0.000183,-0.003723, Max Y values:,0.986449,0.982177, Max Z values:,0.000183,-0.003723
Average X value:,-0.001361, Average Y value:,0.98471, Average Z value:,0.215101, Max X values:,0.000183,-0.003723, Max Y values:,0.986449,0.982177, Max Z values:,0.000183,-0.003723
Average X value:,-0.001233, Average Y value:,0.984814, Average Z value:,0.215071, Max X values:,0.002014,-0.003723, Max Y values:,0.986449,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001221, Average Y value:,0.984716, Average Z value:,0.215113, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001166, Average Y value:,0.984777, Average Z value:,0.215022, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001105, Average Y value:,0.98474, Average Z value:,0.214936, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001147, Average Y value:,0.984838, Average Z value:,0.215003, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001154, Average Y value:,0.984826, Average Z value:,0.21504, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001202, Average Y value:,0.984795, Average Z value:,0.215101, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.00116, Average Y value:,0.984752, Average Z value:,0.215144, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001154, Average Y value:,0.984789, Average Z value:,0.215168, Max X values:,0.002014,-0.003723, Max Y values:,0.985961,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.00108, Average Y value:,0.984838, Average Z value:,0.215132, Max X values:,0.002014,-0.003723, Max Y values:,0.986327,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.001086, Average Y value:,0.984814, Average Z value:,0.215199, Max X values:,0.002014,-0.003723, Max Y values:,0.986327,0.982909, Max Z values:,0.002014,-0.003723
Average X value:,-0.00108, Average Y value:,0.98474, Average Z value:,0.215132, Max X values:,0.002014,-0.003723, Max Y values:,0.986327,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001099, Average Y value:,0.984807, Average Z value:,0.215089, Max X values:,0.002014,-0.003723, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001099, Average Y value:,0.984807, Average Z value:,0.215095, Max X values:,0.002014,-0.003723, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001032, Average Y value:,0.984734, Average Z value:,0.21515, Max X values:,0.002014,-0.003723, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001123, Average Y value:,0.984777, Average Z value:,0.21515, Max X values:,0.002014,-0.003723, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001172, Average Y value:,0.984752, Average Z value:,0.215064, Max X values:,0.002014,-0.003723, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001239, Average Y value:,0.984722, Average Z value:,0.215077, Max X values:,0.002014,-0.003723, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003723
Average X value:,-0.001093, Average Y value:,0.984856, Average Z value:,0.215131, Max X values:,0.002014,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003113
Average X value:,-0.001099, Average Y value:,0.984807, Average Z value:,0.21507, Max X values:,0.002014,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.002014,-0.003113
Average X value:,-0.001294, Average Y value:,0.984862, Average Z value:,0.214997, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.001245, Average Y value:,0.984929, Average Z value:,0.215125, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.00127, Average Y value:,0.984997, Average Z value:,0.215113, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.001282, Average Y value:,0.985052, Average Z value:,0.215156, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.00127, Average Y value:,0.985015, Average Z value:,0.215083, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.001294, Average Y value:,0.985027, Average Z value:,0.215052, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.001209, Average Y value:,0.985052, Average Z value:,0.215083, Max X values:,0.000671,-0.003113, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003113
Average X value:,-0.001257, Average Y value:,0.985186, Average Z value:,0.215162, Max X values:,0.000671,-0.003235, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003235
Average X value:,-0.00127, Average Y value:,0.985119, Average Z value:,0.215125, Max X values:,0.000671,-0.003235, Max Y values:,0.986571,0.982177, Max Z values:,0.000671,-0.003235
Average X value:,-0.00138, Average Y value:,0.98499, Average Z value:,0.215064, Max X values:,0.000305,-0.003235, Max Y values:,0.986571,0.982177, Max Z values:,0.000305,-0.003235
Average X value:,-0.001404, Average Y value:,0.985027, Average Z value:,0.215058, Max X values:,0.000305,-0.003235, Max Y values:,0.986571,0.982177, Max Z values:,0.000305,-0.003235
Average X value:,-0.001441, Average Y value:,0.985082, Average Z value:,0.215046, Max X values:,0.000305,-0.003235, Max Y values:,0.986571,0.983275, Max Z values:,0.000305,-0.003235
Average X value:,-0.001276, Average Y value:,0.985106, Average Z value:,0.215107, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001215, Average Y value:,0.985125, Average Z value:,0.215089, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001282, Average Y value:,0.98518, Average Z value:,0.215009, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001251, Average Y value:,0.985216, Average Z value:,0.215003, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001245, Average Y value:,0.985204, Average Z value:,0.214918, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001196, Average Y value:,0.985161, Average Z value:,0.214967, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001148, Average Y value:,0.985143, Average Z value:,0.214875, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983275, Max Z values:,0.000427,-0.003235
Average X value:,-0.001001, Average Y value:,0.985052, Average Z value:,0.214961, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.000916, Average Y value:,0.985033, Average Z value:,0.215144, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.001044, Average Y value:,0.985003, Average Z value:,0.21507, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.001062, Average Y value:,0.984942, Average Z value:,0.215028, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.001123, Average Y value:,0.984887, Average Z value:,0.214857, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.00108, Average Y value:,0.984813, Average Z value:,0.214881, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.001123, Average Y value:,0.984832, Average Z value:,0.214881, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.001111, Average Y value:,0.984734, Average Z value:,0.214887, Max X values:,0.000427,-0.003235, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.003235
Average X value:,-0.000971, Average Y value:,0.984734, Average Z value:,0.214765, Max X values:,0.000427,-0.002503, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.000989, Average Y value:,0.984838, Average Z value:,0.214759, Max X values:,0.000427,-0.002503, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.000952, Average Y value:,0.984862, Average Z value:,0.21482, Max X values:,0.000427,-0.002503, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.001007, Average Y value:,0.984771, Average Z value:,0.214784, Max X values:,0.000427,-0.002503, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.001019, Average Y value:,0.984862, Average Z value:,0.214826, Max X values:,0.000427,-0.002503, Max Y values:,0.98706,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.001087, Average Y value:,0.984758, Average Z value:,0.214991, Max X values:,0.000427,-0.002503, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.001056, Average Y value:,0.984734, Average Z value:,0.215009, Max X values:,0.000427,-0.002503, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.000995, Average Y value:,0.984649, Average Z value:,0.215071, Max X values:,0.000427,-0.002503, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002503
Average X value:,-0.000897, Average Y value:,0.984594, Average Z value:,0.215028, Max X values:,0.000427,-0.002258, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002258
Average X value:,-0.000836, Average Y value:,0.984539, Average Z value:,0.215211, Max X values:,0.000427,-0.002258, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002258
Average X value:,-0.000855, Average Y value:,0.984618, Average Z value:,0.215125, Max X values:,0.000427,-0.002258, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002258
Average X value:,-0.001007, Average Y value:,0.984594, Average Z value:,0.215284, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983153, Max Z values:,0.000427,-0.002869
Average X value:,-0.001013, Average Y value:,0.984636, Average Z value:,0.21515, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001111, Average Y value:,0.984624, Average Z value:,0.21504, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001032, Average Y value:,0.984575, Average Z value:,0.214936, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.000965, Average Y value:,0.98463, Average Z value:,0.215107, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.000952, Average Y value:,0.984746, Average Z value:,0.215296, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001001, Average Y value:,0.98482, Average Z value:,0.21537, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.000952, Average Y value:,0.984783, Average Z value:,0.215345, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.00108, Average Y value:,0.984801, Average Z value:,0.21537, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001111, Average Y value:,0.98474, Average Z value:,0.215345, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001099, Average Y value:,0.984606, Average Z value:,0.215266, Max X values:,0.000427,-0.002869, Max Y values:,0.986205,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001129, Average Y value:,0.984728, Average Z value:,0.215223, Max X values:,0.000427,-0.002869, Max Y values:,0.986694,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001056, Average Y value:,0.984704, Average Z value:,0.21518, Max X values:,0.000427,-0.002869, Max Y values:,0.986694,0.983275, Max Z values:,0.000427,-0.002869
Average X value:,-0.001178, Average Y value:,0.984661, Average Z value:,0.21515, Max X values:,0.000427,-0.003357, Max Y values:,0.986694,0.983275, Max Z values:,0.000427,-0.003357
Average X value:,-0.001251, Average Y value:,0.984704, Average Z value:,0.21504, Max X values:,0.000427,-0.003357, Max Y values:,0.986694,0.983275, Max Z values:,0.000427,-0.003357
Average X value:,-0.001337, Average Y value:,0.984716, Average Z value:,0.215089, Max X values:,0.000427,-0.003357, Max Y values:,0.986694,0.983275, Max Z values:,0.000427,-0.003357
Average X value:,-0.001337, Average Y value:,0.984789, Average Z value:,0.215095, Max X values:,0.000427,-0.003357, Max Y values:,0.986694,0.98352, Max Z values:,0.000427,-0.003357
Average X value:,-0.001361, Average Y value:,0.984704, Average Z value:,0.215052, Max X values:,0.000427,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.000427,-0.003357
Average X value:,-0.00138, Average Y value:,0.984704, Average Z value:,0.214997, Max X values:,0.000305,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.000305,-0.003357
Average X value:,-0.001337, Average Y value:,0.98463, Average Z value:,0.215119, Max X values:,0.000305,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.000305,-0.003357
Average X value:,-0.001294, Average Y value:,0.984612, Average Z value:,0.214942, Max X values:,0.000305,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.000305,-0.003357
Average X value:,-0.001361, Average Y value:,0.984698, Average Z value:,0.215034, Max X values:,0.000061,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.000061,-0.003357
Average X value:,-0.001215, Average Y value:,0.98471, Average Z value:,0.215187, Max X values:,0.000793,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.000793,-0.003357
Average X value:,-0.001111, Average Y value:,0.984789, Average Z value:,0.215364, Max X values:,0.001404,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.001404,-0.003357
Average X value:,-0.001123, Average Y value:,0.984771, Average Z value:,0.215303, Max X values:,0.001404,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.001404,-0.003357
Average X value:,-0.001044, Average Y value:,0.98471, Average Z value:,0.215217, Max X values:,0.001404,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.001404,-0.003357
Average X value:,-0.000964, Average Y value:,0.984746, Average Z value:,0.21515, Max X values:,0.001404,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.001404,-0.003357
Average X value:,-0.001111, Average Y value:,0.984728, Average Z value:,0.215187, Max X values:,0.001404,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.001404,-0.003357
Average X value:,-0.000989, Average Y value:,0.984832, Average Z value:,0.215083, Max X values:,0.001404,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.001404,-0.003357
Average X value:,-0.00083, Average Y value:,0.984807, Average Z value:,0.215162, Max X values:,0.002136,-0.003357, Max Y values:,0.986694,0.983397, Max Z values:,0.002136,-0.003357
Average X value:,-0.0008, Average Y value:,0.984972, Average Z value:,0.215217, Max X values:,0.002136,-0.003357, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003357
Average X value:,-0.000732, Average Y value:,0.984862, Average Z value:,0.21526, Max X values:,0.002136,-0.003357, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003357
Average X value:,-0.00069, Average Y value:,0.984862, Average Z value:,0.21526, Max X values:,0.002136,-0.003357, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003357
Average X value:,-0.000574, Average Y value:,0.984984, Average Z value:,0.215309, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003235
Average X value:,-0.000464, Average Y value:,0.984875, Average Z value:,0.215296, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003235
Average X value:,-0.000488, Average Y value:,0.98482, Average Z value:,0.215089, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003235
Average X value:,-0.000507, Average Y value:,0.984893, Average Z value:,0.215077, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.002136,-0.003235
Average X value:,-0.000427, Average Y value:,0.984911, Average Z value:,0.215186, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.98352, Max Z values:,0.002136,-0.003235
Average X value:,-0.000464, Average Y value:,0.98496, Average Z value:,0.215235, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.98352, Max Z values:,0.002136,-0.003235
Average X value:,-0.000531, Average Y value:,0.984954, Average Z value:,0.215193, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.98352, Max Z values:,0.002136,-0.003235
Average X value:,-0.000531, Average Y value:,0.984972, Average Z value:,0.215284, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.98352, Max Z values:,0.002136,-0.003235
Average X value:,-0.000519, Average Y value:,0.984936, Average Z value:,0.215254, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.98352, Max Z values:,0.002136,-0.003235
Average X value:,-0.000543, Average Y value:,0.98485, Average Z value:,0.215138, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983275, Max Z values:,0.002136,-0.003235
Average X value:,-0.000641, Average Y value:,0.984746, Average Z value:,0.215144, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983275, Max Z values:,0.002136,-0.003235
Average X value:,-0.000629, Average Y value:,0.984746, Average Z value:,0.215089, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983275, Max Z values:,0.002136,-0.003235
Average X value:,-0.00069, Average Y value:,0.984814, Average Z value:,0.21518, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.983275, Max Z values:,0.002136,-0.003235
Average X value:,-0.000647, Average Y value:,0.984631, Average Z value:,0.215205, Max X values:,0.002136,-0.003235, Max Y values:,0.986816,0.982177, Max Z values:,0.002136,-0.003235
Average X value:,-0.000592, Average Y value:,0.984679, Average Z value:,0.215229, Max X values:,0.002136,-0.002136, Max Y values:,0.986816,0.982177, Max Z values:,0.002136,-0.002136
Average X value:,-0.000519, Average Y value:,0.984631, Average Z value:,0.215284, Max X values:,0.002136,-0.002136, Max Y values:,0.986816,0.982177, Max Z values:,0.002136,-0.002136
Average X value:,-0.000739, Average Y value:,0.984667, Average Z value:,0.215211, Max X values:,0.00116,-0.002258, Max Y values:,0.986816,0.982177, Max Z values:,0.00116,-0.002258
Average X value:,-0.000726, Average Y value:,0.984551, Average Z value:,0.215125, Max X values:,0.00116,-0.002258, Max Y values:,0.986694,0.982177, Max Z values:,0.00116,-0.002258
Average X value:,-0.000732, Average Y value:,0.984569, Average Z value:,0.215131, Max X values:,0.00116,-0.002258, Max Y values:,0.986694,0.982177, Max Z values:,0.00116,-0.002258
Average X value:,-0.000787, Average Y value:,0.984685, Average Z value:,0.215211, Max X values:,0.00116,-0.002258, Max Y values:,0.986694,0.982177, Max Z values:,0.00116,-0.002258
Average X value:,-0.000659, Average Y value:,0.984704, Average Z value:,0.215302, Max X values:,0.001526,-0.002258, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002258
Average X value:,-0.000659, Average Y value:,0.984698, Average Z value:,0.215315, Max X values:,0.001526,-0.002258, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002258
Average X value:,-0.000562, Average Y value:,0.98474, Average Z value:,0.215449, Max X values:,0.001526,-0.002258, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002258
Average X value:,-0.00058, Average Y value:,0.98471, Average Z value:,0.21537, Max X values:,0.001526,-0.002258, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002258
Average X value:,-0.000745, Average Y value:,0.98474, Average Z value:,0.215315, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000812, Average Y value:,0.98474, Average Z value:,0.215309, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000665, Average Y value:,0.984765, Average Z value:,0.215247, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000678, Average Y value:,0.984862, Average Z value:,0.215168, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000757, Average Y value:,0.984844, Average Z value:,0.215247, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000745, Average Y value:,0.984893, Average Z value:,0.215247, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000836, Average Y value:,0.985039, Average Z value:,0.215125, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000812, Average Y value:,0.984954, Average Z value:,0.215156, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000885, Average Y value:,0.984936, Average Z value:,0.215064, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.982177, Max Z values:,0.001526,-0.002747
Average X value:,-0.000946, Average Y value:,0.985033, Average Z value:,0.215083, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
Average X value:,-0.000842, Average Y value:,0.984991, Average Z value:,0.215248, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
Average X value:,-0.000897, Average Y value:,0.985052, Average Z value:,0.215223, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
