You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,0.073753, Average Y value:,0.981469, Average Z value:,0.22997, Max X values:,0.736922,-0.813587, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.813587,,0.037208
Average X value:,0.143087, Average Y value:,0.981969, Average Z value:,0.230819, Max X values:,0.736922,-0.813587, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.813587,,0.032335
Average X value:,0.210633, Average Y value:,0.983318, Average Z value:,0.230684, Max X values:,0.736922,-0.699078, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.699078,,0.025902
Average X value:,0.270634, Average Y value:,0.981005, Average Z value:,0.229933, Max X values:,0.736922,-0.537203, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.537203,,0.018664
Average X value:,0.319508, Average Y value:,0.978472, Average Z value:,0.230959, Max X values:,0.736922,-0.393884, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.393884,,0.010256
Average X value:,0.357108, Average Y value:,0.976976, Average Z value:,0.237075, Max X values:,0.736922,-0.29317, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.29317,,0.001052
Average X value:,0.385888, Average Y value:,0.97672, Average Z value:,0.245547, Max X values:,0.736922,-0.197217, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.197217,,-0.008722
Average X value:,0.408155, Average Y value:,0.975719, Average Z value:,0.254361, Max X values:,0.736922,-0.10517, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.10517,,-0.018611
Average X value:,0.42071, Average Y value:,0.973979, Average Z value:,0.262138, Max X values:,0.736922,-0.043032, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.043032,,-0.028416
Average X value:,0.424898, Average Y value:,0.970524, Average Z value:,0.267485, Max X values:,0.736922,0.040713, Max Y values:,1.009278,0.928951, Max Z values:,0.736922,0.040713,,-0.035289
Average X value:,0.421339, Average Y value:,0.969377, Average Z value:,0.267344, Max X values:,0.736922,-0.010438, Max Y values:,1.009278,0.910151, Max Z values:,0.736922,-0.010438,,-0.041574
Average X value:,0.411146, Average Y value:,0.970445, Average Z value:,0.263468, Max X values:,0.736922,-0.043521, Max Y values:,1.009278,0.910151, Max Z values:,0.736922,-0.043521,,-0.048088
Average X value:,0.390276, Average Y value:,0.970604, Average Z value:,0.2551, Max X values:,0.736922,-0.14045, Max Y values:,1.011109,0.910151, Max Z values:,0.736922,-0.14045,,-0.054377
Average X value:,0.358133, Average Y value:,0.972093, Average Z value:,0.247018, Max X values:,0.736922,-0.275102, Max Y values:,1.011109,0.910151, Max Z values:,0.736922,-0.275102,,-0.059973
Average X value:,0.310639, Average Y value:,0.972453, Average Z value:,0.243478, Max X values:,0.736922,-0.434658, Max Y values:,1.011109,0.910151, Max Z values:,0.736922,-0.434658,,-0.063396
Average X value:,0.25079, Average Y value:,0.974138, Average Z value:,0.24172, Max X values:,0.736922,-0.567112, Max Y values:,1.011109,0.910151, Max Z values:,0.736922,-0.567112,,-0.065091
Average X value:,0.182555, Average Y value:,0.971641, Average Z value:,0.240798, Max X values:,0.736922,-0.662211, Max Y values:,1.011109,0.910151, Max Z values:,0.736922,-0.662211,,-0.065226
Average X value:,0.106464, Average Y value:,0.970219, Average Z value:,0.239956, Max X values:,0.736922,-0.786852, Max Y values:,1.011109,0.910151, Max Z values:,0.736922,-0.786852,,-0.063421
Average X value:,0.026985, Average Y value:,0.969621, Average Z value:,0.239877, Max X values:,0.609717,-0.852652, Max Y values:,1.011109,0.910151, Max Z values:,0.609717,-0.852652,,-0.059706
Average X value:,-0.045559, Average Y value:,0.968968, Average Z value:,0.239602, Max X values:,0.609717,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.609717,-0.877678,,-0.054788
Average X value:,-0.114454, Average Y value:,0.967894, Average Z value:,0.238619, Max X values:,0.575902,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.575902,-0.877678,,-0.048209
Average X value:,-0.182335, Average Y value:,0.966917, Average Z value:,0.238515, Max X values:,0.537325,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.537325,-0.877678,,-0.040173
Average X value:,-0.244033, Average Y value:,0.965592, Average Z value:,0.239498, Max X values:,0.500946,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.500946,-0.877678,,-0.033034
Average X value:,-0.296954, Average Y value:,0.965977, Average Z value:,0.239278, Max X values:,0.440273,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.440273,-0.877678,,-0.026377
Average X value:,-0.340255, Average Y value:,0.965574, Average Z value:,0.235616, Max X values:,0.358115,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.358115,-0.877678,,-0.018091
Average X value:,-0.374296, Average Y value:,0.968229, Average Z value:,0.229646, Max X values:,0.282427,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.282427,-0.877678,,-0.008571
Average X value:,-0.401721, Average Y value:,0.968504, Average Z value:,0.223366, Max X values:,0.248123,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.248123,-0.877678,,0.00124
Average X value:,-0.422664, Average Y value:,0.968675, Average Z value:,0.219129, Max X values:,0.145944,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.145944,-0.877678,,0.010682
Average X value:,-0.43503, Average Y value:,0.969059, Average Z value:,0.214777, Max X values:,0.040713,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,0.040713,-0.877678,,0.019982
Average X value:,-0.437234, Average Y value:,0.968211, Average Z value:,0.210315, Max X values:,-0.003357,-0.877678, Max Y values:,1.011109,0.910151, Max Z values:,-0.003357,-0.877678,,0.028323
Average X value:,-0.432076, Average Y value:,0.9731, Average Z value:,0.2133, Max X values:,0.092718,-0.877678, Max Y values:,1.011109,0.937618, Max Z values:,0.092718,-0.877678,,0.035951
Average X value:,-0.420082, Average Y value:,0.972545, Average Z value:,0.220228, Max X values:,0.196362,-0.877678, Max Y values:,1.011109,0.937618, Max Z values:,0.196362,-0.877678,,0.040988
Average X value:,-0.397473, Average Y value:,0.971379, Average Z value:,0.230739, Max X values:,0.311726,-0.877678, Max Y values:,1.01001,0.937618, Max Z values:,0.311726,-0.877678,,0.044814
Average X value:,-0.361985, Average Y value:,0.970848, Average Z value:,0.236483, Max X values:,0.434658,-0.877678, Max Y values:,1.01001,0.937618, Max Z values:,0.434658,-0.877678,,0.04883
Average X value:,-0.311585, Average Y value:,0.970945, Average Z value:,0.234951, Max X values:,0.573338,-0.877678, Max Y values:,1.01001,0.937618, Max Z values:,0.573338,-0.877678,,0.052407
Average X value:,-0.248892, Average Y value:,0.968247, Average Z value:,0.231044, Max X values:,0.686749,-0.877678, Max Y values:,1.007935,0.937618, Max Z values:,0.686749,-0.877678,,0.05537
Average X value:,-0.17661, Average Y value:,0.968467, Average Z value:,0.22953, Max X values:,0.783434,-0.877678, Max Y values:,1.007935,0.937618, Max Z values:,0.783434,-0.877678,,0.057121
Average X value:,-0.096197, Average Y value:,0.967973, Average Z value:,0.229927, Max X values:,0.8214,-0.877678, Max Y values:,1.007935,0.937618, Max Z values:,0.8214,-0.877678,,0.057486
Average X value:,-0.018739, Average Y value:,0.966447, Average Z value:,0.231392, Max X values:,0.8214,-0.877678, Max Y values:,1.007935,0.937618, Max Z values:,0.8214,-0.877678,,0.056192
Average X value:,0.057084, Average Y value:,0.96724, Average Z value:,0.234115, Max X values:,0.8214,-0.781725, Max Y values:,1.007935,0.937618, Max Z values:,0.8214,-0.781725,,0.054327
Average X value:,0.128243, Average Y value:,0.968443, Average Z value:,0.234646, Max X values:,0.8214,-0.781725, Max Y values:,1.007935,0.937618, Max Z values:,0.8214,-0.781725,,0.050606
Average X value:,0.196576, Average Y value:,0.970835, Average Z value:,0.232906, Max X values:,0.8214,-0.696637, Max Y values:,1.020265,0.937618, Max Z values:,0.8214,-0.696637,,0.045994
Average X value:,0.255442, Average Y value:,0.973295, Average Z value:,0.231154, Max X values:,0.8214,-0.557468, Max Y values:,1.030153,0.937618, Max Z values:,0.8214,-0.557468,,0.040665
Average X value:,0.304596, Average Y value:,0.976994, Average Z value:,0.232882, Max X values:,0.8214,-0.425746, Max Y values:,1.030153,0.937618, Max Z values:,0.8214,-0.425746,,0.035105
Average X value:,0.34252, Average Y value:,0.978465, Average Z value:,0.24136, Max X values:,0.8214,-0.322713, Max Y values:,1.030153,0.937618, Max Z values:,0.8214,-0.322713,,0.032324
Average X value:,0.372514, Average Y value:,0.977312, Average Z value:,0.250394, Max X values:,0.8214,-0.266068, Max Y values:,1.030153,0.937618, Max Z values:,0.8214,-0.266068,,0.027273
Average X value:,0.396338, Average Y value:,0.975877, Average Z value:,0.257267, Max X values:,0.8214,-0.170726, Max Y values:,1.030153,0.937618, Max Z values:,0.8214,-0.170726,,0.021032
Average X value:,0.412476, Average Y value:,0.976756, Average Z value:,0.25922, Max X values:,0.8214,-0.101386, Max Y values:,1.030153,0.943722, Max Z values:,0.8214,-0.101386,,0.013619
Average X value:,0.421339, Average Y value:,0.977452, Average Z value:,0.259726, Max X values:,0.8214,-0.003357, Max Y values:,1.030153,0.943722, Max Z values:,0.8214,-0.003357,,0.005653
Average X value:,0.421998, Average Y value:,0.978374, Average Z value:,0.256943, Max X values:,0.8214,0.009827, Max Y values:,1.030153,0.943722, Max Z values:,0.8214,0.009827,,-0.00272
Average X value:,0.414198, Average Y value:,0.976482, Average Z value:,0.250986, Max X values:,0.8214,-0.063297, Max Y values:,1.030153,0.943722, Max Z values:,0.8214,-0.063297,,-0.010909
Average X value:,0.397296, Average Y value:,0.98405, Average Z value:,0.244284, Max X values:,0.8214,-0.141671, Max Y values:,1.095098,0.948117, Max Z values:,0.8214,-0.141671,,-0.019524
Average X value:,0.371245, Average Y value:,0.983788, Average Z value:,0.234701, Max X values:,0.8214,-0.209302, Max Y values:,1.095098,0.948117, Max Z values:,0.8214,-0.209302,,-0.02806
Average X value:,0.333108, Average Y value:,0.986242, Average Z value:,0.230525, Max X values:,0.8214,-0.328084, Max Y values:,1.095098,0.955197, Max Z values:,0.8214,-0.328084,,-0.036111
Average X value:,0.282323, Average Y value:,0.988195, Average Z value:,0.2303, Max X values:,0.8214,-0.442349, Max Y values:,1.095098,0.955197, Max Z values:,0.8214,-0.442349,,-0.042267
Average X value:,0.220332, Average Y value:,0.987963, Average Z value:,0.235256, Max X values:,0.8214,-0.553073, Max Y values:,1.095098,0.951413, Max Z values:,0.8214,-0.553073,,-0.048386
Average X value:,0.146371, Average Y value:,0.988403, Average Z value:,0.241396, Max X values:,0.8214,-0.695782, Max Y values:,1.095098,0.951413, Max Z values:,0.8214,-0.695782,,-0.054228
Average X value:,0.06569, Average Y value:,0.988537, Average Z value:,0.245407, Max X values:,0.696515,-0.792224, Max Y values:,1.095098,0.951413, Max Z values:,0.696515,-0.792224,,-0.05874
Average X value:,-0.01153, Average Y value:,0.988586, Average Z value:,0.247098, Max X values:,0.655008,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.655008,-0.847891,,-0.061609
Average X value:,-0.079424, Average Y value:,0.987371, Average Z value:,0.248324, Max X values:,0.655008,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.655008,-0.847891,,-0.062549
Average X value:,-0.150149, Average Y value:,0.986162, Average Z value:,0.249771, Max X values:,0.584936,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.584936,-0.847891,,-0.061627
Average X value:,-0.216792, Average Y value:,0.983037, Average Z value:,0.253623, Max X values:,0.480681,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.480681,-0.847891,,-0.059033
Average X value:,-0.274657, Average Y value:,0.980437, Average Z value:,0.257816, Max X values:,0.425624,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.425624,-0.847891,,-0.054807
Average X value:,-0.323897, Average Y value:,0.979088, Average Z value:,0.258738, Max X values:,0.332723,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.332723,-0.847891,,-0.049058
Average X value:,-0.363206, Average Y value:,0.980431, Average Z value:,0.253476, Max X values:,0.277178,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.277178,-0.847891,,-0.042019
Average X value:,-0.393908, Average Y value:,0.981707, Average Z value:,0.245883, Max X values:,0.210401,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.210401,-0.847891,,-0.034268
Average X value:,-0.41526, Average Y value:,0.983495, Average Z value:,0.238033, Max X values:,0.152048,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.152048,-0.847891,,-0.028666
Average X value:,-0.430922, Average Y value:,0.983446, Average Z value:,0.234279, Max X values:,0.075871,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.075871,-0.847891,,-0.02095
Average X value:,-0.439651, Average Y value:,0.986193, Average Z value:,0.234975, Max X values:,0.009827,-0.847891, Max Y values:,1.095098,0.951413, Max Z values:,0.009827,-0.847891,,-0.011695
Average X value:,-0.440945, Average Y value:,0.985558, Average Z value:,0.238766, Max X values:,-0.016053,-0.847891, Max Y values:,1.095098,0.950803, Max Z values:,-0.016053,-0.847891,,-0.002026
Average X value:,-0.432631, Average Y value:,0.987182, Average Z value:,0.242202, Max X values:,0.102973,-0.847891, Max Y values:,1.095098,0.950803, Max Z values:,0.102973,-0.847891,,0.00716
Average X value:,-0.414875, Average Y value:,0.979979, Average Z value:,0.244644, Max X values:,0.213453,-0.847891, Max Y values:,1.016236,0.950803, Max Z values:,0.213453,-0.847891,,0.016329
Average X value:,-0.388751, Average Y value:,0.980461, Average Z value:,0.247964, Max X values:,0.31319,-0.847891, Max Y values:,1.016236,0.950803, Max Z values:,0.31319,-0.847891,,0.024849
Average X value:,-0.351126, Average Y value:,0.976647, Average Z value:,0.250388, Max X values:,0.424403,-0.847891, Max Y values:,1.016236,0.920894, Max Z values:,0.424403,-0.847891,,0.032823
Average X value:,-0.300555, Average Y value:,0.979546, Average Z value:,0.252689, Max X values:,0.569065,-0.847891, Max Y values:,1.068974,0.920894, Max Z values:,0.569065,-0.847891,,0.039768
Average X value:,-0.23926, Average Y value:,0.983062, Average Z value:,0.248727, Max X values:,0.672832,-0.847891, Max Y values:,1.068974,0.920894, Max Z values:,0.672832,-0.847891,,0.044026
Average X value:,-0.165635, Average Y value:,0.984948, Average Z value:,0.241842, Max X values:,0.77672,-0.847891, Max Y values:,1.068974,0.920894, Max Z values:,0.77672,-0.847891,,0.048448
Average X value:,-0.085113, Average Y value:,0.986645, Average Z value:,0.235567, Max X values:,0.818226,-0.847891, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.847891,,0.052447
Average X value:,-0.002167, Average Y value:,0.98897, Average Z value:,0.231203, Max X values:,0.818226,-0.759507, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.759507,,0.055805
Average X value:,0.066258, Average Y value:,0.990692, Average Z value:,0.225722, Max X values:,0.818226,-0.759507, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.759507,,0.058083
Average X value:,0.137606, Average Y value:,0.992791, Average Z value:,0.222554, Max X values:,0.818226,-0.747909, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.747909,,0.058758
Average X value:,0.204767, Average Y value:,0.996521, Average Z value:,0.219996, Max X values:,0.818226,-0.676616, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.676616,,0.058104
Average X value:,0.263297, Average Y value:,0.999915, Average Z value:,0.217305, Max X values:,0.818226,-0.559177, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.559177,,0.055517
Average X value:,0.31305, Average Y value:,1.001685, Average Z value:,0.216896, Max X values:,0.818226,-0.453458, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.453458,,0.052144
Average X value:,0.35427, Average Y value:,0.999359, Average Z value:,0.219722, Max X values:,0.818226,-0.336874, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.336874,,0.047712
Average X value:,0.385741, Average Y value:,0.996857, Average Z value:,0.22618, Max X values:,0.818226,-0.216627, Max Y values:,1.068974,0.920894, Max Z values:,0.818226,-0.216627,,0.042601
Average X value:,0.407428, Average Y value:,0.992364, Average Z value:,0.23315, Max X values:,0.818226,-0.161204, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.161204,,0.037218
Average X value:,0.423665, Average Y value:,0.991803, Average Z value:,0.237411, Max X values:,0.818226,-0.0987, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.0987,,0.032281
Average X value:,0.432503, Average Y value:,0.987298, Average Z value:,0.237167, Max X values:,0.818226,-0.016053, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.016053,,0.029022
Average X value:,0.434798, Average Y value:,0.987133, Average Z value:,0.235848, Max X values:,0.818226,0.029848, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,0.029848,,0.024882
Average X value:,0.42668, Average Y value:,0.986492, Average Z value:,0.233736, Max X values:,0.818226,-0.059391, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.059391,,0.019593
Average X value:,0.410889, Average Y value:,0.988122, Average Z value:,0.232064, Max X values:,0.818226,-0.102362, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.102362,,0.013189
Average X value:,0.385833, Average Y value:,0.988165, Average Z value:,0.230483, Max X values:,0.818226,-0.187939, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.187939,,0.005871
Average X value:,0.350797, Average Y value:,0.989416, Average Z value:,0.227797, Max X values:,0.818226,-0.276323, Max Y values:,1.068974,0.917842, Max Z values:,0.818226,-0.276323,,-0.002365
Average X value:,0.302686, Average Y value:,0.981444, Average Z value:,0.225984, Max X values:,0.818226,-0.393151, Max Y values:,1.046023,0.90954, Max Z values:,0.818226,-0.393151,,-0.010633
Average X value:,0.243875, Average Y value:,0.982421, Average Z value:,0.227712, Max X values:,0.818226,-0.503388, Max Y values:,1.046023,0.90954, Max Z values:,0.818226,-0.503388,,-0.018176
Average X value:,0.174394, Average Y value:,0.983178, Average Z value:,0.231637, Max X values:,0.818226,-0.612891, Max Y values:,1.046023,0.90954, Max Z values:,0.818226,-0.612891,,-0.0261
Average X value:,0.09892, Average Y value:,0.981463, Average Z value:,0.237081, Max X values:,0.811024,-0.691265, Max Y values:,1.046023,0.90954, Max Z values:,0.811024,-0.691265,,-0.03411
Average X value:,0.019709, Average Y value:,0.979106, Average Z value:,0.242135, Max X values:,0.66746,-0.77318, Max Y values:,1.046023,0.90954, Max Z values:,0.66746,-0.77318,,-0.041565
Average X value:,-0.050876, Average Y value:,0.976885, Average Z value:,0.247, Max X values:,0.66746,-0.77318, Max Y values:,1.046023,0.90954, Max Z values:,0.66746,-0.77318,,-0.047371
Average X value:,-0.118763, Average Y value:,0.975926, Average Z value:,0.249796, Max X values:,0.595312,-0.77318, Max Y values:,1.046023,0.90954, Max Z values:,0.595312,-0.77318,,-0.052634
Average X value:,-0.18322, Average Y value:,0.972764, Average Z value:,0.252689, Max X values:,0.493988,-0.77318, Max Y values:,1.046023,0.90954, Max Z values:,0.493988,-0.77318,,-0.056722
Average X value:,-0.2423, Average Y value:,0.970323, Average Z value:,0.253867, Max X values:,0.435879,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.435879,-0.77318,,-0.0592
Average X value:,-0.294079, Average Y value:,0.968095, Average Z value:,0.253177, Max X values:,0.370933,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.370933,-0.77318,,-0.060039
Average X value:,-0.337374, Average Y value:,0.970286, Average Z value:,0.250339, Max X values:,0.292559,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.292559,-0.77318,,-0.058552
Average X value:,-0.372514, Average Y value:,0.97191, Average Z value:,0.244833, Max X values:,0.217115,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.217115,-0.77318,,-0.05529
Average X value:,-0.398712, Average Y value:,0.975005, Average Z value:,0.239736, Max X values:,0.163523,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.163523,-0.77318,,-0.05075
Average X value:,-0.416847, Average Y value:,0.974315, Average Z value:,0.237368, Max X values:,0.078069,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.078069,-0.77318,,-0.045032
Average X value:,-0.425502, Average Y value:,0.975121, Average Z value:,0.234048, Max X values:,0.029848,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.029848,-0.77318,,-0.03821
Average X value:,-0.429128, Average Y value:,0.975536, Average Z value:,0.232833, Max X values:,-0.042666,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,-0.042666,-0.77318,,-0.033306
Average X value:,-0.42458, Average Y value:,0.972948, Average Z value:,0.235195, Max X values:,0.031557,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.031557,-0.77318,,-0.028196
Average X value:,-0.413331, Average Y value:,0.97075, Average Z value:,0.240737, Max X values:,0.122627,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.122627,-0.77318,,-0.021842
Average X value:,-0.393164, Average Y value:,0.970311, Average Z value:,0.246774, Max X values:,0.215406,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.215406,-0.77318,,-0.014618
Average X value:,-0.363334, Average Y value:,0.969773, Average Z value:,0.251004, Max X values:,0.320271,-0.77318, Max Y values:,1.041262,0.90954, Max Z values:,0.320271,-0.77318,,-0.006545
Average X value:,-0.322224, Average Y value:,0.975664, Average Z value:,0.252854, Max X values:,0.429042,-0.77318, Max Y values:,1.041262,0.929195, Max Z values:,0.429042,-0.77318,,0.001152
Average X value:,-0.269536, Average Y value:,0.971226, Average Z value:,0.25333, Max X values:,0.550388,-0.77318, Max Y values:,1.027345,0.929195, Max Z values:,0.550388,-0.77318,,0.00804
Average X value:,-0.204199, Average Y value:,0.970317, Average Z value:,0.253183, Max X values:,0.693829,-0.77318, Max Y values:,1.027345,0.929195, Max Z values:,0.693829,-0.77318,,0.015105
Average X value:,-0.129299, Average Y value:,0.973778, Average Z value:,0.249832, Max X values:,0.806751,-0.77318, Max Y values:,1.042483,0.929195, Max Z values:,0.806751,-0.77318,,0.021912
Average X value:,-0.049203, Average Y value:,0.975987, Average Z value:,0.245083, Max X values:,0.828725,-0.762315, Max Y values:,1.042483,0.929195, Max Z values:,0.828725,-0.762315,,0.028317
Average X value:,0.024086, Average Y value:,0.978795, Average Z value:,0.237099, Max X values:,0.828725,-0.693829, Max Y values:,1.042483,0.929195, Max Z values:,0.828725,-0.693829,,0.034203
Average X value:,0.091009, Average Y value:,0.978856, Average Z value:,0.234859, Max X values:,0.828725,-0.693829, Max Y values:,1.042483,0.929195, Max Z values:,0.828725,-0.693829,,0.037334
Average X value:,0.156766, Average Y value:,0.980382, Average Z value:,0.23243, Max X values:,0.828725,-0.687603, Max Y values:,1.042483,0.929195, Max Z values:,0.828725,-0.687603,,0.040858
Average X value:,0.218501, Average Y value:,0.980516, Average Z value:,0.228096, Max X values:,0.828725,-0.599707, Max Y values:,1.042483,0.929195, Max Z values:,0.828725,-0.599707,,0.043661
Average X value:,0.271696, Average Y value:,0.984283, Average Z value:,0.225014, Max X values:,0.828725,-0.494964, Max Y values:,1.055789,0.929195, Max Z values:,0.828725,-0.494964,,0.04589
Average X value:,0.318385, Average Y value:,0.983532, Average Z value:,0.222389, Max X values:,0.828725,-0.410242, Max Y values:,1.055789,0.929195, Max Z values:,0.828725,-0.410242,,0.046844
Average X value:,0.357798, Average Y value:,0.983336, Average Z value:,0.223604, Max X values:,0.828725,-0.306842, Max Y values:,1.055789,0.929195, Max Z values:,0.828725,-0.306842,,0.046445
Average X value:,0.388024, Average Y value:,0.985589, Average Z value:,0.227998, Max X values:,0.828725,-0.19917, Max Y values:,1.055789,0.929195, Max Z values:,0.828725,-0.19917,,0.044853
Average X value:,0.408637, Average Y value:,0.983697, Average Z value:,0.229494, Max X values:,0.828725,-0.095038, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,-0.095038,,0.04267
Average X value:,0.420234, Average Y value:,0.98626, Average Z value:,0.234182, Max X values:,0.828725,-0.042666, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,-0.042666,,0.039303
Average X value:,0.42599, Average Y value:,0.983599, Average Z value:,0.236147, Max X values:,0.828725,0.031557, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,0.031557,,0.03532
Average X value:,0.427693, Average Y value:,0.988226, Average Z value:,0.234517, Max X values:,0.828725,0.065617, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,0.065617,,0.030632
Average X value:,0.422877, Average Y value:,0.987762, Average Z value:,0.228298, Max X values:,0.828725,0.026308, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,0.026308,,0.027629
Average X value:,0.40915, Average Y value:,0.991241, Average Z value:,0.225069, Max X values:,0.828725,-0.059147, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,-0.059147,,0.024602
Average X value:,0.383959, Average Y value:,0.993298, Average Z value:,0.224995, Max X values:,0.828725,-0.183544, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,-0.183544,,0.020413
Average X value:,0.347861, Average Y value:,0.991302, Average Z value:,0.227193, Max X values:,0.828725,-0.292926, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,-0.292926,,0.01549
Average X value:,0.299884, Average Y value:,0.992907, Average Z value:,0.230141, Max X values:,0.828725,-0.409144, Max Y values:,1.055789,0.891351, Max Z values:,0.828725,-0.409144,,0.009789
Average X value:,0.241415, Average Y value:,0.987133, Average Z value:,0.231368, Max X values:,0.828725,-0.475554, Max Y values:,1.055789,0.885857, Max Z values:,0.828725,-0.475554,,0.00352
Average X value:,0.170714, Average Y value:,0.983654, Average Z value:,0.23406, Max X values:,0.828725,-0.607276, Max Y values:,1.055789,0.885857, Max Z values:,0.828725,-0.607276,,-0.002456
Average X value:,0.09414, Average Y value:,0.981676, Average Z value:,0.237978, Max X values:,0.703473,-0.702741, Max Y values:,1.055789,0.885857, Max Z values:,0.703473,-0.702741,,-0.007707
Average X value:,0.018995, Average Y value:,0.979595, Average Z value:,0.243496, Max X values:,0.648172,-0.799426, Max Y values:,1.055789,0.885857, Max Z values:,0.648172,-0.799426,,-0.013553
Average X value:,-0.055649, Average Y value:,0.978923, Average Z value:,0.242611, Max X values:,0.621315,-0.844717, Max Y values:,1.055789,0.885857, Max Z values:,0.621315,-0.844717,,-0.019761
Average X value:,-0.123012, Average Y value:,0.977715, Average Z value:,0.243899, Max X values:,0.547091,-0.844717, Max Y values:,1.055789,0.885857, Max Z values:,0.547091,-0.844717,,-0.026068
Average X value:,-0.18836, Average Y value:,0.975908, Average Z value:,0.247287, Max X values:,0.464201,-0.844717, Max Y values:,1.055789,0.885857, Max Z values:,0.464201,-0.844717,,-0.032546
Average X value:,-0.246444, Average Y value:,0.971989, Average Z value:,0.250827, Max X values:,0.438809,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.438809,-0.844717,,-0.036495
Average X value:,-0.297638, Average Y value:,0.972075, Average Z value:,0.253293, Max X values:,0.378014,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.378014,-0.844717,,-0.040499
Average X value:,-0.341165, Average Y value:,0.973491, Average Z value:,0.251016, Max X values:,0.297687,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.297687,-0.844717,,-0.044224
Average X value:,-0.374748, Average Y value:,0.970134, Average Z value:,0.245492, Max X values:,0.213087,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.213087,-0.844717,,-0.046987
Average X value:,-0.399164, Average Y value:,0.975383, Average Z value:,0.241122, Max X values:,0.13691,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.13691,-0.844717,,-0.048591
