You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,-0.164567, Average Y value:,0.989855, Average Z value:,0.187511, Max X values:,0.779039,-0.879387, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.879387,,-0.050582
Average X value:,-0.108271, Average Y value:,0.985717, Average Z value:,0.189245, Max X values:,0.779039,-0.879387, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.879387,,-0.056866
Average X value:,-0.043979, Average Y value:,0.985271, Average Z value:,0.194452, Max X values:,0.779039,-0.879387, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.879387,,-0.061342
Average X value:,0.022066, Average Y value:,0.987102, Average Z value:,0.200397, Max X values:,0.779039,-0.879387, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.879387,,-0.063869
Average X value:,0.09074, Average Y value:,0.985705, Average Z value:,0.209528, Max X values:,0.779039,-0.714094, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.714094,,-0.065386
Average X value:,0.148508, Average Y value:,0.985302, Average Z value:,0.221687, Max X values:,0.779039,-0.676982, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.676982,,-0.065243
Average X value:,0.198468, Average Y value:,0.98626, Average Z value:,0.225978, Max X values:,0.779039,-0.676982, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.676982,,-0.064075
Average X value:,0.246133, Average Y value:,0.984984, Average Z value:,0.228823, Max X values:,0.779039,-0.676982, Max Y values:,1.049197,0.930294, Max Z values:,0.779039,-0.676982,,-0.06157
Average X value:,0.290032, Average Y value:,0.981041, Average Z value:,0.233346, Max X values:,0.779039,-0.554538, Max Y values:,1.049197,0.899774, Max Z values:,0.779039,-0.554538,,-0.057574
Average X value:,0.321589, Average Y value:,0.976598, Average Z value:,0.239858, Max X values:,0.779039,-0.420863, Max Y values:,1.026613,0.899774, Max Z values:,0.779039,-0.420863,,-0.05206
Average X value:,0.34197, Average Y value:,0.975182, Average Z value:,0.250412, Max X values:,0.779039,-0.254471, Max Y values:,1.026613,0.899774, Max Z values:,0.779039,-0.254471,,-0.044643
Average X value:,0.348795, Average Y value:,0.974358, Average Z value:,0.257999, Max X values:,0.779039,-0.149606, Max Y values:,1.026613,0.899774, Max Z values:,0.779039,-0.149606,,-0.035166
Average X value:,0.345816, Average Y value:,0.976335, Average Z value:,0.260886, Max X values:,0.779039,-0.20918, Max Y values:,1.026613,0.899774, Max Z values:,0.779039,-0.20918,,-0.024584
Average X value:,0.329995, Average Y value:,0.98095, Average Z value:,0.262644, Max X values:,0.779039,-0.311115, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.311115,,-0.015609
Average X value:,0.301697, Average Y value:,0.982702, Average Z value:,0.262846, Max X values:,0.779039,-0.444058, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.444058,,-0.004916
Average X value:,0.25933, Average Y value:,0.979076, Average Z value:,0.259702, Max X values:,0.779039,-0.561619, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.561619,,0.006607
Average X value:,0.203455, Average Y value:,0.980236, Average Z value:,0.254703, Max X values:,0.779039,-0.707502, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.707502,,0.01623
Average X value:,0.136239, Average Y value:,0.981499, Average Z value:,0.244308, Max X values:,0.779039,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.774278,,0.025404
Average X value:,0.065287, Average Y value:,0.983086, Average Z value:,0.229714, Max X values:,0.779039,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.774278,,0.033634
Average X value:,-0.006128, Average Y value:,0.984612, Average Z value:,0.21941, Max X values:,0.779039,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.779039,-0.774278,,0.041139
Average X value:,-0.081133, Average Y value:,0.987029, Average Z value:,0.209052, Max X values:,0.651468,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.651468,-0.774278,,0.047721
Average X value:,-0.147409, Average Y value:,0.989575, Average Z value:,0.200855, Max X values:,0.628151,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.628151,-0.774278,,0.053366
Average X value:,-0.207599, Average Y value:,0.992443, Average Z value:,0.195831, Max X values:,0.557224,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.557224,-0.774278,,0.057757
Average X value:,-0.258548, Average Y value:,0.989159, Average Z value:,0.193756, Max X values:,0.49411,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.49411,-0.774278,,0.061045
