You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.014425, Average Y value:,0.868031, Average Z value:,0.197192, Max X values:,0.301227,-0.153147, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.153147
Average X value:,0.015913, Average Y value:,0.871943, Average Z value:,0.198391, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.148386
Average X value:,0.017141, Average Y value:,0.877242, Average Z value:,0.20088, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.148386
Average X value:,0.017956, Average Y value:,0.884176, Average Z value:,0.203163, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.148386
Average X value:,0.017027, Average Y value:,0.892843, Average Z value:,0.206358, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.148386
Average X value:,0.016205, Average Y value:,0.903628, Average Z value:,0.209536, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.148386
Average X value:,0.016706, Average Y value:,0.916803, Average Z value:,0.212536, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.2679, Max Z values:,0.301227,-0.148386
Average X value:,0.017693, Average Y value:,0.931392, Average Z value:,0.214842, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.202222, Max Z values:,0.301227,-0.148386
Average X value:,0.018227, Average Y value:,0.946635, Average Z value:,0.217364, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.01858, Average Y value:,0.96127, Average Z value:,0.218503, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.019335, Average Y value:,0.976278, Average Z value:,0.220251, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.021516, Average Y value:,0.993071, Average Z value:,0.222146, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.022481, Average Y value:,1.00959, Average Z value:,0.22376, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.022774, Average Y value:,1.025053, Average Z value:,0.225005, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.023722, Average Y value:,1.039576, Average Z value:,0.226208, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.025299, Average Y value:,1.05342, Average Z value:,0.226414, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.027603, Average Y value:,1.065766, Average Z value:,0.225783, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.02952, Average Y value:,1.075406, Average Z value:,0.224315, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.030848, Average Y value:,1.083439, Average Z value:,0.222603, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
