You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.023969, Average Y value:,1.027482, Average Z value:,0.197637, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.022771, Average Y value:,1.028436, Average Z value:,0.197866, Max X values:,0.253495,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.253495,-0.197949
Average X value:,0.021235, Average Y value:,1.028576, Average Z value:,0.198664, Max X values:,0.23738,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.23738,-0.197949
Average X value:,0.019773, Average Y value:,1.027242, Average Z value:,0.199689, Max X values:,0.23738,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.23738,-0.197949
Average X value:,0.018734, Average Y value:,1.025111, Average Z value:,0.200027, Max X values:,0.23738,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.23738,-0.197949
Average X value:,0.018069, Average Y value:,1.02238, Average Z value:,0.200247, Max X values:,0.23738,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.23738,-0.197949
Average X value:,0.017025, Average Y value:,1.018729, Average Z value:,0.200267, Max X values:,0.23738,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.23738,-0.197949
Average X value:,0.015907, Average Y value:,1.014079, Average Z value:,0.200577, Max X values:,0.23738,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.23738,-0.197949
Average X value:,0.015167, Average Y value:,1.008291, Average Z value:,0.200645, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.015124, Average Y value:,1.002576, Average Z value:,0.200651, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.014459, Average Y value:,0.997068, Average Z value:,0.200161, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.012484, Average Y value:,0.992078, Average Z value:,0.200381, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.009672, Average Y value:,0.987393, Average Z value:,0.20083, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.00702, Average Y value:,0.983262, Average Z value:,0.201499, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.005203, Average Y value:,0.979287, Average Z value:,0.202223, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.005042, Average Y value:,0.975013, Average Z value:,0.202626, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.005374, Average Y value:,0.970865, Average Z value:,0.203148, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.005286, Average Y value:,0.967218, Average Z value:,0.20318, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.004047, Average Y value:,0.964284, Average Z value:,0.202793, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.002028, Average Y value:,0.962935, Average Z value:,0.202434, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.000198, Average Y value:,0.962335, Average Z value:,0.201908, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,-0.000255, Average Y value:,0.962437, Average Z value:,0.201705, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.000136, Average Y value:,0.963063, Average Z value:,0.201889, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.00047, Average Y value:,0.963944, Average Z value:,0.201886, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.000166, Average Y value:,0.964954, Average Z value:,0.201307, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,-0.000376, Average Y value:,0.966433, Average Z value:,0.200111, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,-0.000243, Average Y value:,0.968293, Average Z value:,0.198518, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.224928,-0.197949
Average X value:,0.000673, Average Y value:,0.970402, Average Z value:,0.197129, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.008118, Max Z values:,0.224928,-0.197949
Average X value:,0.001234, Average Y value:,0.972183, Average Z value:,0.196207, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.000978, Average Y value:,0.973225, Average Z value:,0.195289, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.000888, Average Y value:,0.974167, Average Z value:,0.194734, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001703, Average Y value:,0.975736, Average Z value:,0.194956, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002704, Average Y value:,0.977394, Average Z value:,0.19532, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.003068, Average Y value:,0.978391, Average Z value:,0.195735, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001509, Average Y value:,0.979967, Average Z value:,0.196692, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001044, Average Y value:,0.983236, Average Z value:,0.197396, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.000964, Average Y value:,0.987614, Average Z value:,0.198953, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001295, Average Y value:,0.991124, Average Z value:,0.199109, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.0003, Average Y value:,0.993548, Average Z value:,0.1985, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,-0.000019, Average Y value:,0.996211, Average Z value:,0.197815, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002323, Average Y value:,0.999943, Average Z value:,0.197366, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.003677, Average Y value:,1.002992, Average Z value:,0.197474, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002199, Average Y value:,1.004361, Average Z value:,0.19644, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001101, Average Y value:,1.005898, Average Z value:,0.196039, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001392, Average Y value:,1.007843, Average Z value:,0.197425, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.003173, Average Y value:,1.010269, Average Z value:,0.199131, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002993, Average Y value:,1.01101, Average Z value:,0.200343, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002329, Average Y value:,1.010856, Average Z value:,0.201126, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002497, Average Y value:,1.010894, Average Z value:,0.200971, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.003017, Average Y value:,1.01074, Average Z value:,0.19927, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002884, Average Y value:,1.009463, Average Z value:,0.19712, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.002457, Average Y value:,1.007414, Average Z value:,0.195547, Max X values:,0.224928,-0.197949, Max Y values:,2.267045,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001821, Average Y value:,1.004109, Average Z value:,0.194674, Max X values:,0.224928,-0.197949, Max Y values:,2.261674,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001784, Average Y value:,1.000254, Average Z value:,0.195462, Max X values:,0.224928,-0.197949, Max Y values:,2.163889,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001893, Average Y value:,0.996753, Average Z value:,0.196741, Max X values:,0.224928,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001704, Average Y value:,0.99349, Average Z value:,0.197751, Max X values:,0.224928,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.001504, Average Y value:,0.991013, Average Z value:,0.198534, Max X values:,0.224928,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.000942, Average Y value:,0.989083, Average Z value:,0.198512, Max X values:,0.224928,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.224928,-0.197949
Average X value:,0.000082, Average Y value:,0.987388, Average Z value:,0.198162, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.000538, Average Y value:,0.985854, Average Z value:,0.197661, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.001019, Average Y value:,0.984744, Average Z value:,0.19763, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.001965, Average Y value:,0.983519, Average Z value:,0.198097, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.003385, Average Y value:,0.982361, Average Z value:,0.199093, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.004613, Average Y value:,0.981544, Average Z value:,0.19983, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.005611, Average Y value:,0.981335, Average Z value:,0.200184, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.006453, Average Y value:,0.981539, Average Z value:,0.199498, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.007151, Average Y value:,0.982087, Average Z value:,0.197837, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.007452, Average Y value:,0.982713, Average Z value:,0.196175, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.007117, Average Y value:,0.983382, Average Z value:,0.19525, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.007126, Average Y value:,0.983529, Average Z value:,0.19489, Max X values:,0.221266,-0.197949, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.197949
Average X value:,-0.007577, Average Y value:,0.98366, Average Z value:,0.195202, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.219923
Average X value:,-0.008329, Average Y value:,0.983931, Average Z value:,0.19537, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.219923
Average X value:,-0.00865, Average Y value:,0.984553, Average Z value:,0.195208, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.219923
Average X value:,-0.008429, Average Y value:,0.98543, Average Z value:,0.195185, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.056583, Max Z values:,0.221266,-0.219923
Average X value:,-0.007912, Average Y value:,0.986443, Average Z value:,0.195245, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.05817, Max Z values:,0.221266,-0.219923
Average X value:,-0.007732, Average Y value:,0.987232, Average Z value:,0.195171, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.112128, Max Z values:,0.221266,-0.219923
Average X value:,-0.008395, Average Y value:,0.987489, Average Z value:,0.194964, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.008935, Average Y value:,0.987701, Average Z value:,0.19455, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.009457, Average Y value:,0.988073, Average Z value:,0.194126, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.010057, Average Y value:,0.988561, Average Z value:,0.19407, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.010196, Average Y value:,0.989169, Average Z value:,0.193896, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.009872, Average Y value:,0.989709, Average Z value:,0.194078, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.009887, Average Y value:,0.989553, Average Z value:,0.194635, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.01002, Average Y value:,0.988176, Average Z value:,0.19435, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.011683, Average Y value:,0.987789, Average Z value:,0.19514, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.011163, Average Y value:,0.987895, Average Z value:,0.194272, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.010117, Average Y value:,0.988296, Average Z value:,0.194085, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.010401, Average Y value:,0.988104, Average Z value:,0.19451, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.011837, Average Y value:,0.986687, Average Z value:,0.194636, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.012011, Average Y value:,0.98442, Average Z value:,0.193536, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.011168, Average Y value:,0.983535, Average Z value:,0.193415, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.010623, Average Y value:,0.98325, Average Z value:,0.193593, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.011782, Average Y value:,0.983075, Average Z value:,0.194909, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.014172, Average Y value:,0.982282, Average Z value:,0.195508, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.014638, Average Y value:,0.982241, Average Z value:,0.196275, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.013704, Average Y value:,0.982704, Average Z value:,0.196698, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.013208, Average Y value:,0.982194, Average Z value:,0.196667, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.013923, Average Y value:,0.980958, Average Z value:,0.19626, Max X values:,0.221266,-0.219923, Max Y values:,2.116523,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.014095, Average Y value:,0.980762, Average Z value:,0.196471, Max X values:,0.221266,-0.219923, Max Y values:,2.107856,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.014478, Average Y value:,0.981094, Average Z value:,0.196008, Max X values:,0.221266,-0.219923, Max Y values:,2.141061,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.014961, Average Y value:,0.981851, Average Z value:,0.195655, Max X values:,0.221266,-0.219923, Max Y values:,2.181591,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015539, Average Y value:,0.982846, Average Z value:,0.195103, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015776, Average Y value:,0.983884, Average Z value:,0.194221, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015749, Average Y value:,0.984864, Average Z value:,0.192622, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015797, Average Y value:,0.985376, Average Z value:,0.191965, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015846, Average Y value:,0.985489, Average Z value:,0.191959, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015571, Average Y value:,0.985414, Average Z value:,0.192552, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.01539, Average Y value:,0.986418, Average Z value:,0.192823, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.016478, Average Y value:,0.988134, Average Z value:,0.192728, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.018002, Average Y value:,0.989615, Average Z value:,0.191674, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.018159, Average Y value:,0.990663, Average Z value:,0.191195, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.016878, Average Y value:,0.991304, Average Z value:,0.191109, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015367, Average Y value:,0.992093, Average Z value:,0.19156, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.014779, Average Y value:,0.993204, Average Z value:,0.192356, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015193, Average Y value:,0.99489, Average Z value:,0.192979, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.016004, Average Y value:,0.996969, Average Z value:,0.192904, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.016225, Average Y value:,0.999396, Average Z value:,0.19211, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015969, Average Y value:,1.001847, Average Z value:,0.191101, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015688, Average Y value:,1.003628, Average Z value:,0.190058, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.015669, Average Y value:,1.004552, Average Z value:,0.189321, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.016098, Average Y value:,1.004915, Average Z value:,0.188863, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.016756, Average Y value:,1.00495, Average Z value:,0.188654, Max X values:,0.221266,-0.219923, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.219923
Average X value:,-0.01761, Average Y value:,1.004586, Average Z value:,0.188221, Max X values:,0.221266,-0.229201, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.229201
Average X value:,-0.018797, Average Y value:,1.003947, Average Z value:,0.187673, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.137032, Max Z values:,0.221266,-0.246292
Average X value:,-0.019678, Average Y value:,1.003248, Average Z value:,0.187177, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.132271, Max Z values:,0.221266,-0.246292
Average X value:,-0.01973, Average Y value:,1.002616, Average Z value:,0.187295, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.130196, Max Z values:,0.221266,-0.246292
Average X value:,-0.019445, Average Y value:,1.001719, Average Z value:,0.187946, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.102973, Max Z values:,0.221266,-0.246292
Average X value:,-0.019341, Average Y value:,1.000457, Average Z value:,0.1885, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.064274, Max Z values:,0.221266,-0.246292
Average X value:,-0.019188, Average Y value:,0.999047, Average Z value:,0.188803, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.018885, Average Y value:,0.998358, Average Z value:,0.189185, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.018777, Average Y value:,0.998277, Average Z value:,0.189358, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.019221, Average Y value:,0.998325, Average Z value:,0.188829, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.019784, Average Y value:,0.998584, Average Z value:,0.187806, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.020587, Average Y value:,0.999104, Average Z value:,0.18634, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.019589, Average Y value:,0.999261, Average Z value:,0.184328, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.018967, Average Y value:,0.998855, Average Z value:,0.182488, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.019194, Average Y value:,0.997804, Average Z value:,0.181243, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.019711, Average Y value:,0.996147, Average Z value:,0.180111, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.019493, Average Y value:,0.994466, Average Z value:,0.179763, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.020104, Average Y value:,0.991866, Average Z value:,0.180076, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.022496, Average Y value:,0.987815, Average Z value:,0.179908, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.024395, Average Y value:,0.983883, Average Z value:,0.179166, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.024063, Average Y value:,0.981082, Average Z value:,0.178267, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.023301, Average Y value:,0.978509, Average Z value:,0.177748, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.023773, Average Y value:,0.975265, Average Z value:,0.177933, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.02523, Average Y value:,0.971381, Average Z value:,0.177285, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.026283, Average Y value:,0.967745, Average Z value:,0.176043, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.026504, Average Y value:,0.965074, Average Z value:,0.175396, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.026833, Average Y value:,0.962738, Average Z value:,0.175899, Max X values:,0.221266,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.221266,-0.246292
Average X value:,-0.027946, Average Y value:,0.960212, Average Z value:,0.177788, Max X values:,0.19978,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.19978,-0.246292
Average X value:,-0.029062, Average Y value:,0.95839, Average Z value:,0.179622, Max X values:,0.19978,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.19978,-0.246292
Average X value:,-0.029253, Average Y value:,0.95793, Average Z value:,0.180918, Max X values:,0.19978,-0.246292, Max Y values:,2.188427,0.04523, Max Z values:,0.19978,-0.246292
Average X value:,-0.031468, Average Y value:,0.960668, Average Z value:,0.176065, Max X values:,0.19978,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.19978,-0.246292
Average X value:,-0.032307, Average Y value:,0.958456, Average Z value:,0.171655, Max X values:,0.19978,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.19978,-0.246292
Average X value:,-0.030356, Average Y value:,0.959675, Average Z value:,0.172489, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.030335, Average Y value:,0.960918, Average Z value:,0.171718, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.031345, Average Y value:,0.962663, Average Z value:,0.171313, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.032341, Average Y value:,0.965324, Average Z value:,0.17081, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
