time,src,dest,bytes,next,unack,cwnd,ssthresh,send window,rtt,rcw window
55.73646538,10.10.1.2:59230,10.10.2.1:5001,32,0xee3607f6,0xee3607de,10,2147483647,28960,1189,29312
55.85923948,10.10.1.2:59230,10.10.2.1:5001,32,0xee36462e,0xee3607f6,10,2147483647,29056,1105,29312
55.87132432,10.10.1.2:59230,10.10.2.1:5001,32,0xee364bd6,0xee360d9e,11,2147483647,31872,16169,29312
55.88337069,10.10.1.2:59230,10.10.2.1:5001,32,0xee365726,0xee361346,12,2147483647,34816,30861,29312
55.89530619,10.10.1.2:59230,10.10.2.1:5001,32,0xee366276,0xee3618ee,13,2147483647,37760,45222,29312
55.90730531,10.10.1.2:59230,10.10.2.1:5001,32,0xee366dc6,0xee361e96,14,2147483647,40576,59279,29312
55.91925949,10.10.1.2:59230,10.10.2.1:5001,32,0xee367916,0xee36243e,15,2147483647,43520,73080,29312
55.93123337,10.10.1.2:59230,10.10.2.1:5001,32,0xee368466,0xee3629e6,16,2147483647,46336,86647,29312
55.94329924,10.10.1.2:59230,10.10.2.1:5001,32,0xee368fb6,0xee362f8e,17,2147483647,49280,100015,29312
55.95514091,10.10.1.2:59230,10.10.2.1:5001,32,0xee369b06,0xee363536,18,2147483647,52224,113221,29312
55.96716238,10.10.1.2:59230,10.10.2.1:5001,32,0xee36a656,0xee363ade,19,2147483647,55040,126255,29312
56.12313489,10.10.1.2:59230,10.10.2.1:5001,32,0xee36b1a6,0xee364086,20,2147483647,57984,139164,29312
56.36297506,10.10.1.2:59230,10.10.2.1:5001,32,0xee36bcf6,0xee36462e,21,2147483647,60928,168878,29312
56.37499263,10.10.1.2:59230,10.10.2.1:5001,32,0xee36c846,0xee364bd6,22,2147483647,63744,210734,29312
56.38687186,10.10.1.2:59230,10.10.2.1:5001,32,0xee36d396,0xee36517e,23,2147483647,66688,247350,29312
56.39894783,10.10.1.2:59230,10.10.2.1:5001,32,0xee36dee6,0xee365726,24,2147483647,69504,280874,29312
56.410951,10.10.1.2:59230,10.10.2.1:5001,32,0xee36ea36,0xee365cce,25,2147483647,72448,310211,29312
56.42295674,10.10.1.2:59230,10.10.2.1:5001,32,0xee36f586,0xee366276,26,2147483647,75392,337381,29312
56.43492172,10.10.1.2:59230,10.10.2.1:5001,32,0xee3700d6,0xee36681e,27,2147483647,78208,361163,29312
56.44693206,10.10.1.2:59230,10.10.2.1:5001,32,0xee370c26,0xee366dc6,28,2147483647,81152,383469,29312
56.45887488,10.10.1.2:59230,10.10.2.1:5001,32,0xee371776,0xee36736e,29,2147483647,84096,402987,29312
56.47090867,10.10.1.2:59230,10.10.2.1:5001,32,0xee3722c6,0xee367916,30,2147483647,86912,421559,29312
56.48290274,10.10.1.2:59230,10.10.2.1:5001,32,0xee372e16,0xee367ebe,31,2147483647,89856,437820,29312
56.49487596,10.10.1.2:59230,10.10.2.1:5001,32,0xee373966,0xee368466,32,2147483647,92672,453547,29312
56.50689359,10.10.1.2:59230,10.10.2.1:5001,32,0xee3744b6,0xee368a0e,33,2147483647,95616,467308,29312
56.518797,10.10.1.2:59230,10.10.2.1:5001,32,0xee375006,0xee368fb6,34,2147483647,98560,480851,29312
56.53079819,10.10.1.2:59230,10.10.2.1:5001,32,0xee375b56,0xee36955e,35,2147483647,101376,492681,29312
56.55490586,10.10.1.2:59230,10.10.2.1:5001,32,0xee3766a6,0xee369b06,36,2147483647,104320,504533,29312
56.56688208,10.10.1.2:59230,10.10.2.1:5001,32,0xee3771f6,0xee36a0ae,37,2147483647,107264,516436,29312
56.57879261,10.10.1.2:59230,10.10.2.1:5001,32,0xee377d46,0xee36a656,38,2147483647,110080,528349,29312
56.59085435,10.10.1.2:59230,10.10.2.1:5001,32,0xee378896,0xee36abfe,39,2147483647,113024,538758,29312
56.89062469,10.10.1.2:59230,10.10.2.1:5001,32,0xee3793e6,0xee36b1a6,40,2147483647,115840,549375,29312
56.9025957,10.10.1.2:59230,10.10.2.1:5001,32,0xee379f36,0xee36b74e,41,2147483647,118784,576637,29312
57.19044509,10.10.1.2:59230,10.10.2.1:5001,32,0xee37aa86,0xee36bcf6,42,2147483647,121728,601988,29312
57.20238598,10.10.1.2:59230,10.10.2.1:5001,44,0xee37b5d6,0xee36c29e,43,2147483647,124544,630173,29312
57.21438022,10.10.1.2:59230,10.10.2.1:5001,52,0xee37bb7e,0xee36c29e,43,2147483647,127488,654825,29312
57.22645221,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,42,21,130432,676410,29312
57.2384427,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,39,21,133248,695297,29312
57.25041001,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,38,21,136192,711820,29312
57.26246576,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,36,21,139008,726274,29312
57.27441297,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,35,21,141952,738932,29312
57.28646416,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,33,21,144896,750000,29312
57.29837372,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,32,21,147712,759699,29312
57.31043307,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,30,21,150656,768169,29312
57.32238074,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,29,21,153600,775588,29312
57.33443077,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,27,21,156416,782078,29312
57.34636732,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,26,21,156416,787759,29312
57.35838881,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,24,21,156416,792736,29312
57.37040998,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,23,21,156416,797086,29312
57.38239302,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,21,21,156416,799388,29312
57.39418209,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,21,21,156416,802899,29312
57.40630969,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,21,21,156416,805949,29312
57.41836077,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,20,21,156416,808644,29312
57.71810795,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,19,21,156416,811001,29312
57.7301206,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,18,21,156416,813062,29312
57.94590842,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,17,21,156416,814871,29312
57.95792285,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,16,21,156416,807445,29312
57.96989151,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,16,21,156416,802448,29312
57.98180823,10.10.1.2:59230,10.10.2.1:5001,60,0xee37bb7e,0xee36c29e,16,21,156416,798080,29312
57.99383496,10.10.1.2:59230,10.10.2.1:5001,60,0xee37c6ce,0xee36cdee,21,21,153600,793820,29312
58.00587219,10.10.1.2:59230,10.10.2.1:5001,60,0xee37cc76,0xee36d93e,21,21,150784,788592,29312
58.01792228,10.10.1.2:59230,10.10.2.1:5001,60,0xee37d21e,0xee36e48e,21,21,147968,782518,29312
58.02981701,10.10.1.2:59230,10.10.2.1:5001,60,0xee37d7c6,0xee36efde,21,21,145152,775704,29312
